年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成24,2012,0,13000,総数,Tokyo-to,20,87,8,16168803,1320029,14848774,483147,1903105
平成25,2013,0,13000,総数,Tokyo-to,20,87,8,16207668,1325593,14882075,484078,1911914
平成26,2014,0,13000,総数,Tokyo-to,20,86,8,16234410,1326600,14907810,484660,1919017
平成26,2014,1,13100,区部,All ku,13,84,7,16002220,1094410,14907810,483430,1919017
平成26,2014,2,13101,千代田区,Chiyoda-ku,-,2,1,288436,36646,251789,6662,26393
平成26,2014,2,13102,中央区,Chuo-ku,-,7,-,319834,26960,292875,6979,27957
平成26,2014,2,13103,港　区,Minato-ku,1,4,-,465534,55972,409561,11470,40969
平成26,2014,2,13104,新宿区,Shinjuku-ku,1,-,-,484647,33145,451502,14261,62242
平成26,2014,2,13105,文京区,Bunkyo-ku,-,2,-,319952,47950,272002,8808,38182
平成26,2014,2,13106,台東区,Taito-ku,-,2,1,372645,44895,327751,8729,44131
平成26,2014,2,13107,墨田区,Sumida-ku,-,5,-,369524,26915,342610,10316,49796
平成26,2014,2,13108,江東区,Koto-ku,2,20,1,732727,42171,690556,16896,54079
平成26,2014,2,13109,品川区,Shinagawa-ku,-,6,-,446911,34455,412456,13198,68395
平成26,2014,2,13110,目黒区,Meguro-ku,-,-,-,352344,22763,329581,11974,59765
平成26,2014,2,13111,大田区,Ota-ku,1,11,1,1205088,83002,1122086,35774,157460
平成26,2014,2,13112,世田谷区,Setagaya-ku,-,-,-,1588902,105462,1483440,52027,197310
平成26,2014,2,13113,渋谷区,Shibuya-ku,-,-,-,311808,15749,296059,10351,52316
平成26,2014,2,13114,中野区,Nakano-ku,1,-,1,438480,30115,408365,14115,75015
平成26,2014,2,13115,杉並区,Suginami-ku,-,-,-,814444,41911,772533,24393,115221
平成26,2014,2,13116,豊島区,Toshima-ku,-,-,-,396765,27997,368767,13949,68555
平成26,2014,2,13117,北　区,Kita-ku,1,2,1,467463,26951,440513,13909,67603
平成26,2014,2,13118,荒川区,Arakawa-ku,1,3,-,313804,34617,279186,8421,45073
平成26,2014,2,13119,板橋区,Itabashi-ku,1,1,-,798566,63789,734777,26135,106816
平成26,2014,2,13120,練馬区,Nerima-ku,-,-,-,1275074,64182,1210892,42743,157838
平成26,2014,2,13121,足立区,Adachi-ku,2,6,-,2098822,109340,1989482,64205,154120
平成26,2014,2,13122,葛飾区,Katsushika-ku,1,7,1,1018770,53348,965421,33561,115876
平成26,2014,2,13123,江戸川区,Edogawa-ku,1,6,-,1121680,66074,1055606,34554,133905
平成26,2014,2,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-9  地域別下水道施設及び付属設備 （平成24～26年度末） ,,,,,,,,,,,,,
6-9  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
( End of Fiscal Years 2012～2014 ) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
