年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成22,2010,0,13000,,東京都,Tokyo-to,9019,18751,11481,2380,800,1580,219,2966,687,1285,977,17,820,306,33,481,2925
平成23,2011,0,13000,,東京都,Tokyo-to,8880,19311,11370,2308,761,1547,222,2925,683,1259,966,17,834,303,35,496,2861
平成24,2012,0,13000,,東京都,Tokyo-to,8763,19783,10960,2243,740,1503,257,2893,684,1230,962,17,841,296,37,508,2875
平成25,2013,0,13000,,東京都,Tokyo-to,8603,20396,10770,2179,707,1472,248,2851,680,1204,951,16,846,299,36,511,2866
平成26,2014,0,13000,,東京都,Tokyo-to,8488,21028,10536,2110,659,1451,241,2846,675,1194,963,14,839,286,35,518,2859
平成26,2014,1,13100,,区部,All ku,6161,16136,8185,1718,603,1115,110,1846,543,916,373,14,659,208,21,430,1963
平成26,2014,2,13101,1,千代田区,Chiyoda-ku,159,173,188,34,5,29,-,78,46,24,8,-,59,16,1,42,35
平成26,2014,2,13102,2,中央区,Chuo-ku,160,597,233,49,11,38,1,101,63,32,6,-,38,14,-,24,34
平成26,2014,2,13103,3,港区,Minato-ku,184,1011,407,132,6,126,3,130,69,51,10,-,68,27,1,40,87
平成26,2014,2,13104,4,新宿区,Shinjuku-ku,285,907,479,106,27,79,2,243,36,159,41,7,88,35,2,51,92
平成26,2014,2,13105,5,文京区,Bunkyo-ku,127,274,235,22,9,13,3,41,18,20,2,1,16,1,1,14,83
平成26,2014,2,13106,6,台東区,Taito-ku,190,353,252,232,30,202,3,413,72,173,166,2,27,5,-,22,40
平成26,2014,2,13107,7,墨田区,Sumida-ku,219,407,296,48,28,20,4,53,20,22,11,-,21,6,1,14,48
平成26,2014,2,13108,8,江東区,Koto-ku,254,470,366,72,28,44,4,53,21,23,9,-,52,22,3,27,110
平成26,2014,2,13109,9,品川区,Shinagawa-ku,220,570,379,64,29,35,8,78,47,24,7,-,16,4,1,11,72
平成26,2014,2,13110,10,目黒区,Meguro-ku,145,680,246,38,16,22,1,19,10,7,2,-,15,1,-,14,54
平成26,2014,2,13111,11,大田区,Ota-ku,420,809,512,102,46,56,23,87,7,65,15,-,18,9,2,7,121
平成26,2014,2,13112,12,世田谷区,Setagaya-ku,399,1418,639,86,32,54,6,18,2,13,1,2,32,3,4,25,157
平成26,2014,2,13113,13,渋谷区,Shibuya-ku,179,1976,265,110,14,96,1,110,56,47,6,1,75,26,3,46,59
平成26,2014,2,13114,14,中野区,Nakano-ku,213,497,315,39,22,17,4,9,3,3,3,-,12,1,-,11,55
平成26,2014,2,13115,15,杉並区,Suginami-ku,298,734,380,44,23,21,26,16,5,9,2,-,14,1,-,13,92
平成26,2014,2,13116,16,豊島区,Toshima-ku,226,716,266,86,28,58,1,181,22,140,19,-,42,19,-,23,56
平成26,2014,2,13117,17,北区,Kita-ku,253,451,288,60,32,28,-,29,12,9,8,-,13,-,1,12,79
平成26,2014,2,13118,18,荒川区,Arakawa-ku,153,275,165,38,29,9,2,59,8,11,40,-,7,-,-,7,44
平成26,2014,2,13119,19,板橋区,Itabashi-ku,353,632,420,75,36,39,4,17,1,12,3,1,6,2,-,4,110
平成26,2014,2,13120,20,練馬区,Nerima-ku,416,845,480,89,27,62,4,7,4,3,-,-,10,3,-,7,155
