地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,総数,All shi,24226,14854,1663,99,569,1034,2308,87,1416,2089,104,3
1,13201,八王子市,Hachioji-shi,2766,1794,214,3,77,74,120,-,-,474,10,-
1,13202,立川市,Tachikawa-shi,1113,760,73,-,23,33,129,-,-,92,3,-
1,13203,武蔵野市,Musashino-shi,944,649,70,-,19,37,115,-,25,26,3,-
1,13204,三鷹市,Mitaka-shi,993,610,73,-,39,27,156,-,-,85,3,-
1,13205,青梅市,Ome-shi,1480,573,63,-,5,14,-,-,738,85,2,-
1,13206,府中市,Fuchu-shi,1257,784,86,-,26,50,208,-,-,85,18,-
1,13207,昭島市,Akishima-shi,653,449,46,-,13,12,24,-,24,82,3,-
1,13208,調布市,Chofu-shi,1247,853,85,-,30,37,142,-,-,98,2,-
1,13209,町田市,Machida-shi,2881,1547,163,3,54,67,158,-,618,264,4,3
1,13210,小金井市,Koganei-shi,672,389,63,-,20,15,126,-,-,57,2,-
1,13211,小平市,Kodaira-shi,924,584,71,-,10,22,151,-,-,83,3,-
1,13212,日野市,Hino-shi,1315,642,56,51,67,223,147,-,-,108,21,-
1,13213,東村山市,Higashimurayama-shi,786,495,55,-,21,24,136,-,-,53,2,-
1,13214,国分寺市,Kokubunji-shi,659,405,49,-,14,20,83,-,-,86,2,-
1,13215,国立市,Kunitachi-shi,441,289,42,-,10,17,68,-,-,13,2,-
1,13218,福生市,Fussa-shi,368,307,27,-,-,10,-,-,-,22,2,-
1,13219,狛江市,Komae-shi,460,276,31,-,8,10,89,-,-,44,2,-
1,13220,東大和市,Higashiyamato-shi,472,367,39,-,2,13,27,-,-,22,2,-
1,13221,清瀬市,Kiyose-shi,439,273,30,-,5,16,61,-,-,51,3,-
1,13222,東久留米市,Higashikurume-shi,598,353,52,-,16,24,109,-,-,42,2,-
1,13223,武蔵村山市,Musashimurayama-shi,376,300,39,-,3,11,-,-,-,21,2,-
1,13224,多摩市,Tama-shi,811,630,62,-,11,28,30,-,-,48,2,-
1,13225,稲城市,Inagi-shi,822,333,42,42,68,183,44,87,-,21,2,-
1,13227,羽村市,Hamura-shi,349,278,26,-,2,12,9,-,11,9,2,-
1,13228,あきる野市,Akiruno-shi,418,323,38,-,4,16,19,-,-,16,2,-
1,13229,西東京市,Nishitokyo-shi,982,591,68,-,22,39,157,-,-,102,3,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成26年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2014 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
