年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成25,2013,0,,総数,Total,377422,379873,88938,150633,153903,43652,3101,3145,492,56,57,9,53,49,22,837,724,887,1192,1241,504,53,61,14,7198,7084,2070,528,500,71,80756,79079,2243,5238,5282,249,1046,160,14595,3174,15486,2,259,26047,67008,128748,38725
平成26,2014,0,,総数,Total,380937,379504,90344,149051,146229,46476,2867,2899,460,62,55,16,56,68,10,667,743,811,1081,1149,436,42,39,19,6917,7133,1854,462,475,58,88112,88284,2071,5371,5352,268,1053,178,14385,2474,14160,3,275,25853,67868,127078,37865
平成26,2014,1,,地方裁判所, District courts,106228,105956,59716,37853,37022,24137,-,-,-,-,-,-,48,58,10,667,743,811,1081,1149,436,32,30,18,370,373,281,-,-,-,-,-,-,4945,4922,261,1053,178,13978,2474,14160,3,-,4684,24702,61659,33762
平成26,2014,2,1,東京, Tokyo,94403,93947,53085,34906,34099,22233,-,-,-,-,-,-,44,55,8,667,743,811,1081,1149,436,31,29,16,360,361,273,-,-,-,-,-,-,4704,4676,243,983,167,11171,1774,13063,3,-,3776,21673,52835,29065
平成26,2014,2,2,立川支部, Tachikawa Branch,11825,12009,6631,2947,2923,1904,-,-,-,-,-,-,4,3,2,-,-,-,-,-,-,1,1,2,10,12,8,-,-,-,-,-,-,241,246,18,70,11,2807,700,1097,-,-,908,3029,8824,4697
平成26,2014,1,,簡易裁判所, Summary courts,274709,273548,30628,111198,109207,22339,2867,2899,460,62,55,16,8,10,-,-,-,-,-,-,-,10,9,1,6547,6760,1573,462,475,58,88112,88284,2071,426,430,7,-,-,407,-,-,-,275,21169,43166,65419,4103
平成26,2014,2,1,東京, Tokyo,254894,253712,29025,106534,104574,21228,2600,2604,407,59,54,14,8,10,-,-,-,-,-,-,-,10,9,1,5900,6100,1369,405,422,47,82175,82333,2037,389,391,7,-,-,395,-,-,-,263,15889,40267,57215,3915
平成26,2014,2,2,八丈島, Hachijojima ,84,84,2,6,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,17,17,-,-,-,-,-,-,-,-,-,-,-,45,11,57,-
平成26,2014,2,3,伊豆大島, Izu-oshima ,51,49,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,31,2,33,-
平成26,2014,2,4,新島, Niijima,3,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,2,5,八王子, Hachioji ,4239,4264,366,1232,1262,276,36,49,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,132,48,14,10,4,1143,1138,17,4,4,-,-,-,-,-,-,-,3,1118,554,1669,16
平成26,2014,2,6,立川, Tachikawa,4914,4936,405,1113,1083,300,98,110,19,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,184,186,65,22,22,2,1766,1771,5,9,10,-,-,-,2,-,-,-,4,867,848,1754,13
