年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.3,100.6,103.3,103,93.6,103.8,96.9,96.8,96.3,96.2,98.6,100.6,103.6,97.1,102.1,85.2,95.2
平成24,2012,平均,Average,98.8,98.3,101,100.2,94.6,104.2,99.7,98.2,96.1,93.2,100.5,103.7,112.5,92.9,99.8,80.5,95.2
平成25,2013,平均,Average,100,93.9,103.9,100.1,96.1,106.9,102.3,99.4,99,96.4,93.1,104.6,117.6,98,100.4,87.3,95.9
平成26,2014,平均,Average,101.1,96.4,106.4,104.1,99.9,108.4,102.8,98.8,99.3,101.8,90.7,108.3,115.3,96.3,100.9,83.1,99.8
平成26,2014,1,Jan.,80.3,67.7,87.4,78.5,79.7,82.4,90.1,79.1,78,78.7,71.5,94.3,94.3,72.5,82.6,66.8,83.5
平成26,2014,2,Feb.,79.9,70.7,85.5,77.3,80.5,84.1,83,80.1,73.2,76.9,72.6,100.1,96.8,73.6,83,66.9,83.7
平成26,2014,3,Mar.,87,74.8,90.8,86.6,82.4,92.1,88.3,91,80.5,85.1,73.6,98.4,99.5,83.1,82.6,96.5,92.5
平成26,2014,4,Apr.,84.7,69.1,88.6,88.7,83.9,87.8,89.6,81.5,75.1,84.1,72.9,98.1,99,83.7,89.4,72.2,88.8
平成26,2014,5,May,83.2,67.9,85,81.7,80.2,83.6,84.6,78.8,98.2,83.9,74.7,94.7,101.2,76.1,83.4,65.8,86
平成26,2014,6,June,165.7,211.2,162.8,163.8,199.5,205.1,146.7,155.1,198.4,180.7,142.1,132.3,167.6,170.2,145.6,140.2,141
平成26,2014,7,July,110.3,87.2,119.4,129.4,77.8,98.7,122.9,127.9,88.2,104.3,92.9,125.6,144.7,86.4,109.9,67.8,111.7
平成26,2014,8,Aug.,81,79.9,85.6,84.4,78.7,84,83.1,79.8,74.1,78.2,70.6,97,94.4,76,82.3,65.7,87.3
平成26,2014,9,Sept.,84.8,68.2,87.4,80.8,76.1,90.2,82.2,79.7,74.8,83.3,113.3,108.5,99.7,73.9,83,63.9,87.2
平成26,2014,10,Oct.,81.2,66.9,85.4,82.5,83.3,85.2,83.9,77.2,74.5,79.9,70.3,95.9,99.4,79.1,85.3,72.1,88.3
平成26,2014,11,Nov.,83.6,78.5,111.9,83.4,80.7,85.8,83.1,78.9,74.7,80.3,74.5,106.5,107.2,72.5,95,66.1,87.3
平成26,2014,12,Dec.,191.6,214.8,186.8,211.7,195.5,221.9,196,176.5,201.4,206.3,159.6,148.2,179.5,208.6,188.4,153.5,159.7
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成22～26年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2010-2014 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
