年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成22,2010,0,総数,Total,12422290,12516872,11871986
平成23,2011,0,総数,Total,11764184,11947440,11246029
平成24,2012,0,総数,Total,11774245,12004140,11176819
平成25,2013,0,総数,Total,12083829,12422398,11763967
平成26,2014,0,総数,Total,13339433,13587296,12754537
平成26,2014,1,一般会計,General account,6666708,6789403,6403918
平成26,2014,1,特別会計,Special accounts,4269390,4308120,4196756
平成26,2014,2,特別区財政調整,Financial adjustments for ku,981170,981603,981603
平成26,2014,2,地方消費税清算,Local consumption tax adjustment,1187983,1211562,1154853
平成26,2014,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,277,277,13
平成26,2014,2,母子父子福祉貸付資金,Single parent welfare loan funds,4764,4764,3754
平成26,2014,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,5926,5926,5695
平成26,2014,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,5491,5491,1551
平成26,2014,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,0
平成26,2014,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,0
平成26,2014,2,と場,Slaughter house,6176,6176,5933
平成26,2014,2,都営住宅等事業,Metropolitan public housing， etc.,163438,176226,162161
平成26,2014,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,4172,4172,4147
平成26,2014,2,都市開発資金,Urban development funds,9269,9269,6318
平成26,2014,2,用地,Land acquisition,29702,29835,20814
平成26,2014,2,公債費,Debt services,1856650,1856650,1841322
平成26,2014,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,14272,16068,8593
平成26,2014,1,公営企業会計,Public enterprise accounts,2403335,2489773,2153863
平成26,2014,2,病院,Hospital,224696,225391,214520
平成26,2014,2,中央卸売市場,Central Wholesale Market,69260,100542,76203
平成26,2014,2,都市再開発事業,Urban redevelopment,340313,341707,195574
平成26,2014,2,臨海地域開発事業,Waterfront area development ,186877,189425,176494
平成26,2014,2,港湾事業,Port and harbor,5089,5287,4579
平成26,2014,2,交通事業,Transportation,67213,68515,62201
平成26,2014,2,高速電車事業,Railway,251164,254030,223411
平成26,2014,2,電気事業,Electric power,1715,3104,2549
平成26,2014,2,水道事業,Waterworks,446591,460791,425661
平成26,2014,2,工業用水道事業,Industrial waterworks,1919,1919,1454
平成26,2014,2,下水道事業,Sewerage,808498,839062,771218
,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成22～26年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2010-2014 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
