年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance／件数 Number,個人年金保険 Individual Annuity Insurance／金額 Value
平成22,2010,1589936,9474433,767,1165642,1461541,204450,1108079
平成23,2011,1832486,10877999,806,4472090,2061773,232416,1284724
平成24,2012,1766404,10548964,802,1129972,1719228,259914,1434731
平成25,2013,1723506,10131829,842,1945217,1605519,235112,1272901
平成26,2014,1862767,10531847,934,2814103,1502577,253870,1438569
,,,,,,,,
東京都統計年鑑（平成26年） TOKYO STATISTICAL YEARBOOK ( 2014 ) 15 金融 15 FINANCE,,,,,,,,
15-4  生命保険会社契約高 (1) 新契約 （平成22～26年度） 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (1) NEW POLICIES ( Fiscal Years 2010-2014 ),,,,,,,,
資料：（社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
