大項目,Major item,項番 Item number,項目,Item,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013
名目,At current prices,1,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),93895.5,94828.6,97696.8,99131.3,99696.8,99805.4,96612.8,91466.4,91525.8,93089.9,92212.4,93128.3
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-0.9,1,3,1.5,0.6,0.1,-3.2,-5.3,0.1,1.7,-0.9,1
名目,At current prices,3,国内総生産 (生産側及び支出側),Gross domestic product (production and expenditure approach),498008.8,501889.1,502760.8,505349.4,509106.3,513023.3,489520.1,473933.9,480232.5,473904.8,474474.9,483110.3
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-0.7,0.8,0.2,0.5,0.7,0.8,-4.6,-3.2,1.3,-1.3,0.1,1.8
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,18.9,18.9,19.4,19.6,19.6,19.5,19.7,19.3,19.1,19.6,19.4,19.3
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側),Gross prefectural domestic product (production approach),92430.2,94035.4,97240.6,99095.9,100202.6,100575.1,97831,93857.9,95249.8,97381.1,97165,98677.2
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側) (増加率),Gross prefectural domestic product (production approach) (Percent changes from previous fiscal year),0,1.7,3.4,1.9,1.1,0.4,-2.7,-4.1,1.5,2.2,-0.2,1.6
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側),Gross domestic product  (expenditure approach) ,479870.8,490755.9,497912.6,507158,516038.2,525469.9,505794.7,495497.8,512422.5,514412.7,519631.8,530591.5
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),1.1,2.3,1.5,1.9,1.8,1.8,-3.7,-2,3.4,0.4,1,2.1
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,19.3,19.2,19.5,19.5,19.4,19.1,19.3,18.9,18.6,18.9,18.7,18.6
