地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,総数,All ku,60815,33087,1950,93,706,1668,14193,8035,1017,58,8
1,13101,千代田区,Chiyoda-ku,1057,680,34,3,12,22,116,102,88,-,-
1,13102,中央区,Chuo-ku,1442,756,49,4,29,33,274,215,81,1,-
1,13103,港区,Minato-ku,2084,1253,66,3,15,45,377,249,70,6,-
1,13104,新宿区,Shinjuku-ku,2702,1432,92,6,16,86,642,362,62,4,-
1,13105,文京区,Bunkyo-ku,1788,921,58,2,38,46,432,225,66,-,-
1,13106,台東区,Taito-ku,1680,1186,43,3,13,48,205,121,61,-,-
1,13107,墨田区,Sumida-ku,1926,1169,75,3,18,49,406,182,24,-,-
1,13108,江東区,Koto-ku,2738,1312,95,6,21,75,734,385,108,2,-
1,13109,品川区,Shinagawa-ku,2554,1299,82,4,27,71,694,313,59,5,-
1,13110,目黒区,Meguro-ku,2051,1039,74,2,47,54,579,233,22,1,-
1,13111,大田区,Ota-ku,4312,2241,138,5,56,106,1117,641,6,2,-
1,13112,世田谷区,Setagaya-ku,5056,2831,152,6,54,126,1104,729,51,3,-
1,13113,渋谷区,Shibuya-ku,1830,944,56,3,13,49,371,369,19,6,-
1,13114,中野区,Nakano-ku,1992,1043,69,3,31,53,507,271,11,4,-
1,13115,杉並区,Suginami-ku,3514,1687,108,7,41,100,986,452,133,-,-
1,13116,豊島区,Toshima-ku,1986,1133,80,2,17,65,476,200,12,1,-
1,13117,北区,Kita-ku,2470,1327,84,4,16,81,693,240,25,-,-
1,13118,荒川区,Arakawa-ku,1563,964,55,3,21,55,285,141,38,1,-
1,13119,板橋区,Itabashi-ku,3538,1953,127,5,37,116,849,439,12,-,-
1,13120,練馬区,Nerima-ku,4495,2143,109,5,64,127,1260,757,25,5,-
1,13121,足立区,Adachi-ku,3433,2252,113,6,38,109,687,205,13,10,-
1,13122,葛飾区,Katsushika-ku,2944,1425,69,5,15,77,807,525,14,7,-
1,13123,江戸川区,Edogawa-ku,3660,2097,122,3,67,75,592,679,17,-,8
,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成26年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2014 ),,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,
