年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.8,105.6,98.1,99.3,100.9,100.9,101,99.3,100,100.8,99,95.3,97.1,99.4,102.7,101.2,100.2
平成24,2012,平均,Average,99.6,109.4,97.5,99.9,95.6,99.7,100.4,98,98.6,101.6,103.9,98.4,94.2,100,104.8,99.4,99.2
平成25,2013,平均,Average,99.5,103,98.4,98.6,68.7,98.6,99.1,94.3,98.4,100.4,114.4,101.9,94.3,103.2,106.9,93.1,100.5
平成26,2014,平均,Average,100.5,113.9,98.3,97.9,58.3,99.9,98.6,93.8,97.9,101.3,126,102.5,96.2,105.3,108,93.4,103.3
平成26,2014,1,Jan.,99.5,109.2,96.6,97.3,59.2,97.6,97.9,93.5,97.7,100.5,122.5,101.5,93.9,106,106.8,92.3,102.3
平成26,2014,2,Feb.,99.3,109.1,96.4,97,59.4,97.5,98.2,93.4,97.3,100.5,123.7,101.7,94.1,104.3,106.5,91,102.1
平成26,2014,3,Mar.,98.7,110.2,96.9,96.7,59.5,97.6,97.1,92.9,97.1,100,124.1,101.7,94.6,100.8,104.7,91,101.5
平成26,2014,4,Apr.,101,116.1,100.7,99,60.7,100.7,99.2,94.3,99.1,102.1,128.1,101.4,96,103.3,108.3,94.3,103.4
平成26,2014,5,May,101.3,117.1,100.7,99.4,60.6,100.9,99,94.4,98.7,101.7,128.8,102.6,96.5,105.7,109,93.6,103.4
平成26,2014,6,June,101.1,115.9,99.7,98.8,60.3,100.8,98.2,94.1,98.1,101.6,128,103.5,97.1,106.4,108.8,94.6,103.3
平成26,2014,7,July,101.1,114.9,99.4,98.9,56.9,100.6,98.2,94.2,98,101.7,126.8,103.5,97.1,106.9,108.9,94.6,103.6
平成26,2014,8,Aug.,100.6,115.2,98.2,97.1,56.6,100.5,98.3,93.7,97.8,101.6,127.5,104.1,97.1,104.1,109,94.5,104
平成26,2014,9,Sept.,100.5,113.8,97.5,98,56.5,100.5,98.2,93.5,97.9,101.5,127.1,102.8,96.8,103.9,108.3,94.1,104.1
平成26,2014,10,Oct.,100.7,114.1,97.5,97.5,56.4,101,99.2,93.7,97.6,101.7,125.2,102.8,97.1,107.3,108.4,94.1,103.8
平成26,2014,11,Nov.,100.7,115.2,97.8,97.7,56.5,100.8,99.9,93.7,97.6,101.3,125.4,101.9,96.7,108,108.4,93.4,103.5
平成26,2014,12,Dec.,100.9,115.8,97.9,97.8,56.6,100.6,99.6,93.6,97.3,101.4,125.3,102.7,97,107.4,108.4,93.3,104.9
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-12  産業別常用労働者雇用指数 (平成22～26年) 7-12  EMPLOYMENT INDICES OF REGULAR WORKERS BY INDUSTRY ( 2010-2014 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100),,,,,,,,,,,,,,,,,,,,
