年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成22,2010,0,13000,東京都 1),Tokyo-to,7243,1474,91,9,3105,483,3,983,1095
平成23,2011,0,13000,東京都,Tokyo-to,7131,1458,59,16,3160,519,1,940,978
平成24,2012,0,13000,東京都,Tokyo-to,7388,1447,75,15,3334,509,2,988,1018
平成25,2013,0,13000,東京都,Tokyo-to,7043,1342,70,9,3160,521,1,873,1067
平成26,2014,0,13000,東京都,Tokyo-to,7025,1339,58,11,3423,475,1,817,901
平成26,2014,1,13100,区部,All ku,4567,577,12,3,2626,410,1,544,394
平成26,2014,2,13101,千代田区,Chiyoda-ku,198,7,-,-,116,8,-,43,24
平成26,2014,2,13102,中央区,Chuo-ku,136,5,-,-,91,11,-,26,3
平成26,2014,2,13103,港区,Minato-ku,265,23,1,-,173,20,-,35,13
平成26,2014,2,13104,新宿区,Shinjuku-ku,120,9,-,-,80,6,-,22,3
平成26,2014,2,13105,文京区,Bunkyo-ku,99,12,-,-,53,10,-,15,9
平成26,2014,2,13106,台東区,Taito-ku,200,17,-,1,77,6,-,14,85
平成26,2014,2,13107,墨田区,Sumida-ku,359,31,1,-,163,25,-,34,105
平成26,2014,2,13108,江東区,Koto-ku,152,49,2,-,62,7,-,31,1
平成26,2014,2,13109,品川区,Shinagawa-ku,238,17,-,-,148,13,-,28,32
平成26,2014,2,13110,目黒区,Meguro-ku,185,5,-,-,103,25,-,27,25
平成26,2014,2,13111,大田区,Ota-ku,189,20,2,-,83,27,-,24,33
平成26,2014,2,13112,世田谷区,Setagaya-ku,262,50,-,-,149,23,-,27,13
平成26,2014,2,13113,渋谷区,Shibuya-ku,163,9,1,-,111,26,1,15,-
平成26,2014,2,13114,中野区,Nakano-ku,74,9,-,-,43,14,-,8,-
平成26,2014,2,13115,杉並区,Suginami-ku,196,42,-,-,98,30,-,16,10
平成26,2014,2,13116,豊島区,Toshima-ku,185,25,-,-,112,14,-,34,-
平成26,2014,2,13117,北区,Kita-ku,173,25,-,-,108,21,-,16,3
平成26,2014,2,13118,荒川区,Arakawa-ku,76,11,1,-,33,3,-,6,22
