項目,Item,平成24年度 Fiscal year 2012／実数 Value,平成24年度 Fiscal year 2012／構成比 Percentage Distribution (%),平成24年度 Fiscal year 2012／対前年度増加率 Percent changes from previous fiscal year (%),平成25年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),50264.2,54.5,-0.6,50442.5,54.2,0.4
営業余剰・混合所得,Operating surplus and mixed income,21785.6,23.6,-2,22134.2,23.8,1.6
固定資本減耗,Consumption of fixed capital,15497.1,16.8,-1.1,15741,16.9,1.6
生産・輸入品に課される税,Taxes on production and imports,4975.9,5.4,-0.6,5116.9,5.5,2.8
（控除）補助金,(less) Subsidies,310.4,0.3,-17.7,306.4,0.3,-1.3
都内総生産 (市場価格),Gross prefectural domestic product (at market prices),92212.4,100,-0.9,93128.3,100,1
民間最終消費支出,Private final consumption expenditure,38817.1,42.1,1.6,39092.8,42,0.7
政府最終消費支出,Government final consumption expenditure,14365,15.6,2,14464,15.5,0.7
都内総固定資本形成,Gross prefectural domestic fixed capital formation,12751.2,13.8,2.3,13977,15,9.6
在庫品増加,Changes in inventories,-230.8,-0.3,-,-494.6,-0.5,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,27190.5,29.5,-4.4,28902.8,31,6.3
統計上の不突合,Statistical discrepancy,-680.7,-0.7,-,-2813.7,-3,-
都内総生産 (支出側)（市場価格）,Gross prefectural domestic product (expenditure approach) (at market prices),92212.4,100,-0.9,93128.3,100,1
,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成24，25年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2012and 2013),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
