区分階層,項番 Item number,裁判所,Court,略号,Abbreviation,新受 Newly received (A)／総数 Total,新受 Newly received (A)／検察官の起訴 Prosecuted by public prosecutors,新受 Newly received (A)／その他 Others,既済 Disposed／総数 (B) Total,既済 Disposed／有罪 (C) Guilty,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence／執行猶予のうちの保護観察 Under probation,既済 Disposed／無罪 (D) Not guilty,既済 Disposed／その他 (E) Others,既済 Disposed／同一被告人に関する事件の併合 Joinder of actions against the same defendant,未済 (F) Pending
0,,総数,Total,通,R,9936,…,…,9510,7071,3944,323,21,131,2287,3086
0,,総数,Total,略,S,21671,…,…,21438,21431,-,-,-,7,-,696
1,,地方裁判所,District Court,通,R,8534,…,…,8198,5957,3333,245,19,85,2137,2822
2,1,東京,Tokyo,通,R,6828,…,…,6584,4757,2642,199,19,58,1750,2322
2,2,立川支部,Tachikawa Branch,通,R,1706,…,…,1614,1200,691,46,-,27,387,500
1,,簡易裁判所,Summary Court,通,R,1402,…,…,1312,1114,611,78,2,46,150,264
1,,簡易裁判所,Summary Court,略,S,21671,…,…,21438,21431,-,-,-,7,-,696
2,1,東京,Tokyo,通,R,1273,…,…,1174,1002,543,74,2,38,132,241
2,1,東京,Tokyo,略,S,15584,…,…,15351,15344,-,-,-,7,-,696
2,2,八丈島,Hachijojima ,通,R,-,…,…,-,-,-,-,-,-,-,-
2,2,八丈島,Hachijojima ,略,S,3,…,…,3,3,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,略,S,7,…,…,7,7,-,-,-,-,-,-
2,4,新島,Niijima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,4,新島,Niijima,略,S,2,…,…,2,2,-,-,-,-,-,-
2,5,八王子,Hachioji,通,R,41,…,…,44,35,22,2,-,3,6,10
2,5,八王子,Hachioji,略,S,413,…,…,413,413,-,-,-,-,-,-
2,6,立川 ,Tachikawa,通,R,6,…,…,5,4,-,-,-,1,-,4
2,6,立川 ,Tachikawa,略,S,4459,…,…,4459,4459,-,-,-,-,-,-
2,7,武蔵野 ,Musashino ,通,R,65,…,…,69,55,33,2,-,4,10,8
2,7,武蔵野 ,Musashino ,略,S,597,…,…,597,597,-,-,-,-,-,-
2,8,青梅,Ome,通,R,-,…,…,-,-,-,-,-,-,-,-
2,8,青梅,Ome,略,S,190,…,…,190,190,-,-,-,-,-,-
2,9,町田,Machida ,通,R,17,…,…,20,18,13,-,-,-,2,1
2,9,町田,Machida ,略,S,416,…,…,416,416,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,
20-8  刑事事件の種類，手続，裁判所別人員 （平成26年） 20-8  DEFENDANTS BY TYPE OF CRIMINAL CASE， COURT PROCEEDING， AND COURT ( 2014 ),,,,,,,,,,,,,,,,
この表の数字は再審事件を含む。,,,,,,,,,,,,,,,,
Figures in this table include retrial cases.,,,,,,,,,,,,,,,,
注 1)  表側の略号のうち 「通」 は通常第一審事件， 「略」 は略式事件をいう。,,,,,,,,,,,,,,,,
2)  表頭のうち，(Ａ)，(B)及び(F)は延べ人員である。また， (C)，（D)及び（E)は実人員である。,,,,,,,,,,,,,,,,
"Note: 1) Abbreviations ""R"" and ""S"" indicate ordinary cases of the court of first instance and summary proceeding cases， respectively.",,,,,,,,,,,,,,,,
2) Figures in (A)， (B)， and (F) are the total numbers of persons， while those in (C)， (D)， and (E) indicate the actual numbers of persons. ,,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,
