年度,Fiscal year,月次,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成22,2010,,,65911,31742,34169,107249805,56463614,50786189,135599
平成23,2011,,,58938,27442,31496,94926502,48434175,46492327,134219
平成24,2012,,,53328,24484,28843,85692443,43339843,42352599,133909
平成25,2013,,,48312,21775,26537,78145371,39013395,39131975,134793
平成26,2014,,,42338,18227,24111,67412261,32035998,35376263,132686
平成26,2014,4,Apr.,39662,17868,21794,5260713,2586999,2673714,132639
平成26,2014,5,May,44823,19554,25269,5914197,2891250,3022947,131946
平成26,2014,6,June,44184,19047,25137,5642944,2694937,2948007,127715
平成26,2014,7,July,46809,19862,26947,6512499,3042351,3470148,139129
平成26,2014,8,Aug.,46102,19393,26709,5720906,2681391,3039515,124092
平成26,2014,9,Sept.,45767,19249,26518,6244248,2915675,3328573,136436
平成26,2014,10,Oct.,44990,18877,26113,6291408,2893181,3398227,139840
平成26,2014,11,Nov.,40054,16906,23148,5018893,2323341,2695553,125303
平成26,2014,12,Dec.,39946,17101,22845,4832116,2280429,2551687,120966
平成27,2015,1,Jan.,40126,17394,22732,6128802,2942874,3185928,152739
平成27,2015,2,Feb.,37738,16588,21150,4601465,2221952,2379513,121932
平成27,2015,3,Mar.,37859,16886,20973,5244070,2561617,2682452,138516
,,,,,,,,,,
7-4  雇用保険 （一般） 支給状況 （平成22～26年度）,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2010-2014 ) ,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,
,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” are monthly averages. ,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,
