年度,Fiscal year,被保険者数 Insured persons／総数 Total 1),被保険者数 Insured persons／男子 Male 1),被保険者数 Insured persons／女子 Female 1),被扶養者数 Dependents／総数 Total 1),被扶養者数 Dependents／男子 Male 1),被扶養者数 Dependents／女子 Female 1),保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expense,その他の現金給付費 Other cash benefits／件数 Cases,その他の現金給付費 Other cash benefits／給付費 Benefits,診療費 Consultation fees／件数 Cases,診療費 Consultation fees／給付費 Benefits,診療費 Consultation fees／医療費 Medical care expenses,薬剤支給 Prescription drugs benefits／件数 Cases,薬剤支給 Prescription drugs benefits／給付費 Benefits,薬剤支給 Prescription drugs benefits／医療費 Medical care expenses
平成24,2012,4977,4662,315,2403,665,1738,5204,62920,5159,52075,68832,45,10845,3125,36737,48838,1734,12113,16779
平成25,2013,5211,4915,296,2435,664,1771,5290,68655,5248,59466,78513,42,9189,3127,42841,55584,1718,12215,17112
平成26,2014,5324,5027,297,2478,690,1788,5319,64576,5291,58582,76900,28,5994,3216,43505,56226,1753,11831,16588
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (3) 法第3条第2項被保険者分 a 適用状況 (平成24～26年度) 18-8  HEALTH INSURANCE (3) PERSONS INSURED UNDER ARTICLE 3， CLAUSE 2 OF THE HEALTH INSURANCE ACT a COVERAGE ( Fiscal Years 2012-2014 ),,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。 ,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,
注 1) 3月末現在の数値である。 ,,,,,,,,,,,,,,,,,,,,
Note: 1) Figures are as of the end of March of each year.,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association     ,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,
