年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成25,2013,0,,総数,Total,91815,5374,86441,84604,80089,459,2277,1779,7211
平成26,2014,0,,総数,Total,98224,7209,91015,89682,85529,460,2095,1598,8542
平成26,2014,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,95048,6255,88793,87697,84588,271,1751,1087,7351
平成26,2014,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,4523,387,4136,4097,3961,16,42,78,426
平成26,2014,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,1861,203,1658,1655,1471,19,127,38,206
平成26,2014,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,663,83,580,599,555,7,31,6,64
平成26,2014,2,4,後見人等の選任,Appointment of a guardian， etc.,3458,93,3365,3356,3308,9,20,19,102
平成26,2014,3,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,1829,34,1795,1796,1775,5,6,10,33
平成26,2014,3,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,1074,11,1063,1058,1054,-,1,3,16
平成26,2014,3,,うち保佐人の選任,(of which) Appointment of a curator,78,8,70,67,66,1,-,-,11
平成26,2014,3,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,152,2,150,146,146,-,-,-,6
平成26,2014,3,,うち補助人の選任,(of which) Appointment of an assistant,24,4,20,22,20,-,1,1,2
平成26,2014,3,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,40,-,40,39,39,-,-,-,1
平成26,2014,3,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,218,34,184,185,168,3,12,2,33
平成26,2014,3,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,43,-,43,43,40,-,-,3,-
平成26,2014,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,1,1,-,1,1,-,-,-,-
平成26,2014,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,1810,64,1746,1725,1673,1,28,23,85
平成26,2014,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,174,34,140,132,72,25,29,6,42
平成26,2014,3,,うち職権によるもの,(of which) Dismissal by the family court's authority,94,6,88,74,55,-,17,2,20
