年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／結核療養所 Tuberculosis sanatorium,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic
平成21 ,2009,0,13000,東京都,Tokyo-to,649,55,-,594,311,237,12629,10540
平成22,2010,0,13000,東京都,Tokyo-to,647,54,-,593,307,235,12684,10603
平成23,2011,0,13000,東京都,Tokyo-to,643,51,-,592,306,238,12612,10570
平成24,2012,0,13000,東京都,Tokyo-to,641,51,-,590,300,243,12711,10620
平成25,2013,0,13000,東京都,Tokyo-to,646,51,-,595,298,246,12758,10647
平成25,2013,1,13100,区部,All ku,424,13,-,411,217,154,9730,8338
平成25,2013,2,13101,千代田区,Chiyoda-ku,15,-,-,15,4,1,460,351
平成25,2013,2,13102,中央区,Chuo-ku,4,-,-,4,1,1,478,436
平成25,2013,2,13103,港区,Minato-ku,15,-,-,15,8,1,687,592
平成25,2013,2,13104,新宿区,Shinjuku-ku,16,1,-,15,12,2,587,431
平成25,2013,2,13105,文京区,Bunkyo-ku,11,-,-,11,8,2,256,236
平成25,2013,2,13106,台東区,Taito-ku,8,1,-,7,4,6,227,237
平成25,2013,2,13107,墨田区,Sumida-ku,14,-,-,14,8,5,212,186
平成25,2013,2,13108,江東区,Koto-ku,17,-,-,17,11,4,382,295
平成25,2013,2,13109,品川区,Shinagawa-ku,13,-,-,13,5,5,423,345
平成25,2013,2,13110,目黒区,Meguro-ku,9,-,-,9,9,5,311,281
平成25,2013,2,13111,大田区,Ota-ku,29,1,-,28,17,14,573,555
平成25,2013,2,13112,世田谷区,Setagaya-ku,26,-,-,26,14,7,839,755
平成25,2013,2,13113,渋谷区,Shibuya-ku,16,-,-,16,7,6,514,423
平成25,2013,2,13114,中野区,Nakano-ku,10,-,-,10,6,7,328,257
平成25,2013,2,13115,杉並区,Suginami-ku,17,-,-,17,8,8,494,428
平成25,2013,2,13116,豊島区,Toshima-ku,15,-,-,15,13,3,422,314
平成25,2013,2,13117,北区,Kita-ku,21,2,-,19,9,7,271,252
平成25,2013,2,13118,荒川区,Arakawa-ku,14,-,-,14,6,8,170,144
平成25,2013,2,13119,板橋区,Itabashi-ku,41,-,-,41,20,22,388,349
平成25,2013,2,13120,練馬区,Nerima-ku,19,2,-,17,7,7,546,460
平成25,2013,2,13121,足立区,Adachi-ku,51,4,-,47,22,16,409,384
平成25,2013,2,13122,葛飾区,Katsushika-ku,20,1,-,19,9,8,345,268
平成25,2013,2,13123,江戸川区,Edogawa-ku,23,1,-,22,9,9,408,359
平成25,2013,1,13200,市部,All shi,217,38,-,179,79,89,2970,2275
平成25,2013,2,13201,八王子市,Hachioji-shi,40,7,-,33,12,17,373,286
平成25,2013,2,13202,立川市,Tachikawa-shi,7,-,-,7,5,3,159,117
平成25,2013,2,13203,武蔵野市,Musashino-shi,10,-,-,10,6,4,206,150
平成25,2013,2,13204,三鷹市,Mitaka-shi,8,1,-,7,2,3,130,96
平成25,2013,2,13205,青梅市,Ome-shi,16,8,-,8,2,6,96,63
平成25,2013,2,13206,府中市,Fuchu-shi,15,2,-,13,6,4,180,141
平成25,2013,2,13207,昭島市,Akishima-shi,8,-,-,8,5,5,63,62
平成25,2013,2,13208,調布市,Chofu-shi,8,2,-,6,2,3,188,152
平成25,2013,2,13209,町田市,Machida-shi,20,6,-,14,7,7,311,219
平成25,2013,2,13210,小金井市,Koganei-shi,5,1,-,4,1,4,79,64
平成25,2013,2,13211,小平市,Kodaira-shi,9,1,-,8,4,4,125,100
平成25,2013,2,13212,日野市,Hino-shi,6,-,-,6,2,4,119,85
平成25,2013,2,13213,東村山市,Higashimurayama-shi,11,3,-,8,4,4,97,66
平成25,2013,2,13214,国分寺市,Kokubunji-shi,2,-,-,2,-,2,117,75
平成25,2013,2,13215,国立市,Kunitachi-shi,2,-,-,2,1,1,83,73
平成25,2013,2,13218,福生市,Fussa-shi,4,-,-,4,3,1,41,32
平成25,2013,2,13219,狛江市,Komae-shi,2,-,-,2,1,1,49,39
平成25,2013,2,13220,東大和市,Higashiyamato-shi,2,-,-,2,1,-,49,41
平成25,2013,2,13221,清瀬市,Kiyose-shi,13,2,-,11,3,6,44,36
平成25,2013,2,13222,東久留米市,Higashikurume-shi,3,1,-,2,2,-,61,57
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,4,-,-,4,2,2,24,26
平成25,2013,2,13224,多摩市,Tama-shi,8,2,-,6,2,2,107,63
平成25,2013,2,13225,稲城市,Inagi-shi,3,-,-,3,1,2,46,38
平成25,2013,2,13227,羽村市,Hamura-shi,2,-,-,2,-,2,34,32
