年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成22,2010,歳入,Revenue,総数,Total,6264000,6254444,5892680
平成23,2011,歳入,Revenue,総数,Total,6236000,6320233,5970153
平成24,2012,歳入,Revenue,総数,Total,6149000,6225103,5955489
平成25,2013,歳入,Revenue,総数,Total,6264000,6404744,6130261
平成26,2014,歳入,Revenue,総数,Total,6666708,6789403,6546693
平成26,2014,歳入,Revenue,都税,Metropolitan taxes,4669808,4721772,4739939
平成26,2014,歳入,Revenue,地方譲与税,Local transfer tax,329086,360188,364807
平成26,2014,歳入,Revenue,助成交付金,Subsidies and grants,30,30,30
平成26,2014,歳入,Revenue,区市町村たばこ税都交付金,Transferred municipal tobacco tax,-,0,0
平成26,2014,歳入,Revenue,地方特例交付金,Special local grants,5140,5140,4898
平成26,2014,歳入,Revenue,特別交付金,Special grants,3672,3672,2968
平成26,2014,歳入,Revenue,分担金及負担金,Beneficiary contribution,13494,13225,8815
平成26,2014,歳入,Revenue,使用料及手数料,Charges and fees,78355,78538,75087
平成26,2014,歳入,Revenue,国庫支出金,National treasury disbursements,374901,400279,356063
平成26,2014,歳入,Revenue,財産収入,Revenue from property,41870,46779,39943
平成26,2014,歳入,Revenue,寄附金,Contributions,61,61,39
平成26,2014,歳入,Revenue,繰入金,Funds transferred,154343,140674,69898
平成26,2014,歳入,Revenue,諸収入,Miscellaneous,557957,561849,664859
平成26,2014,歳入,Revenue,都債,Metropolitan bonds,437992,376801,138953
平成26,2014,歳入,Revenue,繰越金,Balance brought forward,1,80395,80395
平成22,2010,歳出,Expenditure,総数,Total,6264000,6254444,5869941
平成23,2011,歳出,Expenditure,総数,Total,6236000,6320233,5934573
平成24,2012,歳出,Expenditure,総数,Total,6149000,6225103,5902977
平成25,2013,歳出,Expenditure,総数,Total,6264000,6404744,6049866
平成26,2014,歳出,Expenditure,総数,Total,6666708,6789403,6403918
平成26,2014,歳出,Expenditure,議会費,Metropolitan assembly,6001,6001,5643
平成26,2014,歳出,Expenditure,総務費,General services,182374,184292,171214
平成26,2014,歳出,Expenditure,徴税費,Tax collection,67512,67495,65167
平成26,2014,歳出,Expenditure,生活文化費,Citizens and cultural affairs,28264,28939,27071
平成26,2014,歳出,Expenditure,スポーツ振興費,Sports promotion,24339,24349,21465
平成26,2014,歳出,Expenditure,都市整備費,Urban development,150008,128359,104432
平成26,2014,歳出,Expenditure,環境費,Environmental protection,41753,44691,40986
平成26,2014,歳出,Expenditure,福祉保健費,Welfare and public health,1021408,1000677,951307
平成26,2014,歳出,Expenditure,産業労働費,Industry and labor ,463442,458699,357209
平成26,2014,歳出,Expenditure,土木費,Civil engineering works,505329,467447,383996
平成26,2014,歳出,Expenditure,港湾費,Port and harbor,97863,93140,78481
平成26,2014,歳出,Expenditure,教育費,Education,759100,743462,729061
平成26,2014,歳出,Expenditure,学務費,School affairs,200509,200229,189512
平成26,2014,歳出,Expenditure,警察費,Police,615803,614627,599162
平成26,2014,歳出,Expenditure,消防費,Fire fighting,243765,245416,242231
平成26,2014,歳出,Expenditure,公債費,Debt services,529824,521224,520924
平成26,2014,歳出,Expenditure,諸支出金,Miscellaneous,1724415,1955711,1916058
平成26,2014,歳出,Expenditure,予備費,Reserve funds,5000,4643,-
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成22～26年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2010-2014 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
