規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,522903,490556,446639,43917,32347,164637,162971,152857,10114,1666
100～499人,435915,407200,372834,34366,28715,114535,113513,108453,5060,1022
100人以上,475184,444829,406152,38677,30355,131538,130297,123522,6775,1241
30～99人,392745,378702,355959,22743,14043,103430,102258,98688,3570,1172
５～29人,347752,336005,319957,16048,11747,93370,92874,91065,1809,496
30人以上,447549,422662,389326,33336,24887,117486,116279,111106,5173,1207
５人以上,420824,399456,370750,28706,21368,105468,104616,101119,3497,852
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
