規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,472354,546351,322323,447959,517478,307007,412699,35260,24395,28873,15316
100～499人,372915,442689,258926,363176,429601,254659,337330,25846,9739,13088,4267
100人以上,416101,489670,284311,399997,469428,275620,370063,29934,16104,20242,8691
30～99人,325518,401525,219107,313923,386851,211822,294494,19429,11595,14674,7285
５～29人,257333,321445,178325,250652,313042,173765,240129,10523,6681,8403,4560
30人以上,383334,459700,258406,368861,441351,250274,342727,26134,14473,18349,8132
５人以上,343423,419334,230078,331418,403889,223209,310229,21189,12005,15445,6869
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
