規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,459841,531756,313610,450650,520595,308423,415011,35639,9191,11161,5187
100～499人,370996,437393,265612,358123,422525,255906,333795,24328,12873,14868,9706
100人以上,409640,480504,284636,398369,467330,276721,369121,29248,11271,13174,7915
30～99人,316462,390491,207434,304534,373473,203004,287299,17235,11928,17018,4430
５～29人,265089,330265,184578,252333,314466,175582,241991,10342,12756,15799,8996
30人以上,375860,449295,254633,364351,434788,248072,339458,24893,11509,14507,6561
５人以上,340831,414659,229819,328927,399776,222396,308636,20291,11904,14883,7423
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
