事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成17,2005,年平均,18.9,19.7,17.8,145.1,158.6,126.8,137.2,148.6,121.8,7.9,10,5
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成23,2011,1月,16.7,17.7,15.5,127.9,142,109.5,120.8,132.7,105.3,7.1,9.3,4.2
５～29人,平成23,2011,2月,17.9,19.1,16.5,138,154.7,116.2,130.2,144.2,111.8,7.8,10.5,4.4
５～29人,平成23,2011,3月,18,19.2,16.5,138.4,154.9,116.5,130.8,144.8,112.2,7.6,10.1,4.3
５～29人,平成23,2011,4月,18.6,19.8,17.1,143,159.9,120.6,135.3,149.6,116.4,7.7,10.3,4.2
５～29人,平成23,2011,5月,17.3,18.2,16.1,132.8,147,114.2,126,137.9,110.4,6.8,9.1,3.8
５～29人,平成23,2011,6月,19,20,17.5,145.2,161.4,123.6,137.9,151.7,119.6,7.3,9.7,4
５～29人,平成23,2011,7月,18.6,19.6,17.2,142,157.6,122.4,134.8,148,118.3,7.2,9.6,4.1
５～29人,平成23,2011,8月,18.1,19.1,16.8,137.9,153.9,118.1,130.7,143.9,114.4,7.2,10,3.7
５～29人,平成23,2011,9月,18.3,19.4,16.9,139.7,156.1,119.7,132.5,146.3,115.6,7.2,9.8,4.1
