規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,152.4,136,16.4,14.1,92.9,88.7,4.2
100～499人,18.1,151.7,136.3,15.4,14.1,90,85.7,4.3
100人以上,18.1,152.1,136.2,15.9,14.1,91,86.7,4.3
30～99人,18.3,150.5,138.5,12,13,77.6,74.5,3.1
５～29人,18.5,151.7,141.8,9.9,13.3,81.9,80.3,1.6
30人以上,18.2,151.6,137,14.6,13.6,84.3,80.6,3.7
５人以上,18.2,151.6,138.3,13.3,13.5,83.1,80.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
