規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,520916,477825,437702,40123,43091,154475,153469,142522,10947,1006
100～499人,428798,402737,372969,29768,26061,115148,113881,108591,5290,1267
100人以上,470344,436602,402164,34438,33742,128603,127426,120201,7225,1177
30～99人,387230,377332,355584,21748,9898,99193,98856,95166,3690,337
５～29人,349240,331790,316764,15026,17450,91284,90538,88507,2031,746
30人以上,442384,416663,386494,30169,25721,113849,113093,107641,5452,756
５人以上,417183,393700,367628,26072,23483,102715,101964,98200,3764,751
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
