規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.6,162.8,147.7,15.1,15.4,101.3,97.9,3.4
100～499人,19.4,161.7,147.4,14.3,14.5,91.4,87.9,3.5
100人以上,19.5,162.1,147.5,14.6,14.8,94.8,91.4,3.4
30～99人,19.5,162.2,149.6,12.6,13.9,83.2,79.7,3.5
５～29人,20.2,165.2,155.3,9.9,13.9,84.6,82.8,1.8
30人以上,19.5,162.2,148.2,14,14.3,88.8,85.3,3.5
５人以上,19.7,163,150.1,12.9,14.1,86.8,84.1,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
