規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.3,19.7,18.5,158.6,164.7,146,144,148.5,134.8,14.6,16.2,11.2
100～499人,19.1,19.7,18.2,154.6,163.5,140.5,141.1,147.8,130.5,13.5,15.7,10
100人以上,19.2,19.7,18.3,156.4,164.1,142.7,142.4,148.1,132.2,14,16,10.5
30～99人,18.7,19.6,17.5,147,160.8,127.3,136.2,147.4,120.1,10.8,13.4,7.2
５～29人,18.6,19.6,17.2,142,157.6,122.4,134.8,148,118.3,7.2,9.6,4.1
30人以上,19,19.7,18,152.9,163,136.7,140.1,147.9,127.5,12.8,15.1,9.2
５人以上,18.9,19.7,17.7,149.4,161.4,131.7,138.4,147.9,124.3,11,13.5,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
