事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成17,2005,年平均,20.4,166.5,156.5,10,15.2,92.7,89.9,2.8
５～29人,平成18,2006,年平均,20.7,168.6,158.2,10.4,14.6,89,86.5,2.5
５～29人,平成19,2007,年平均,20.6,167.7,158.1,9.6,13.7,83.6,81.4,2.2
５～29人,平成20,2008,年平均,20.4,165.9,155.9,10,13.9,83.3,80.6,2.7
５～29人,平成21,2009,年平均,20.3,164.7,154.6,10.1,13.7,81.8,79.3,2.5
５～29人,平成22,2010,年平均,20.5,167.1,156.7,10.4,14,85.9,83.8,2.1
５～29人,平成23,2011,年平均,20.3,167.3,156.9,10.4,13.8,83.1,81.5,1.6
５～29人,平成23,2011,1月,18.5,151.7,141.8,9.9,13.3,81.9,80.3,1.6
５～29人,平成23,2011,2月,20.2,167.8,156.6,11.2,13.6,81.5,80,1.5
５～29人,平成23,2011,3月,20.4,169.8,158.9,10.9,13.4,79.3,77.8,1.5
５～29人,平成23,2011,4月,21.1,173.9,163.1,10.8,13.9,83.1,81.5,1.6
５～29人,平成23,2011,5月,19.1,158.5,148.8,9.7,13.9,83.6,82.2,1.4
５～29人,平成23,2011,6月,21.4,176.2,165.8,10.4,14.2,85.6,84.2,1.4
５～29人,平成23,2011,7月,21,172.3,162.4,9.9,13.9,83.6,81.8,1.8
５～29人,平成23,2011,8月,20.2,165.2,155.3,9.9,13.9,84.6,82.8,1.8
５～29人,平成23,2011,9月,20.6,169.3,159.2,10.1,13.9,83.2,81.5,1.7
５～29人,平成23,2011,10月,20.1,165.4,154.9,10.5,13.9,83.2,81.6,1.6
５～29人,平成23,2011,11月,20.7,169.6,158.5,11.1,13.9,83,81.3,1.7
５～29人,平成23,2011,12月,20.5,168.8,157.9,10.9,14,84.5,82.6,1.9
30～99人,平成17,2005,年平均,19.6,161.8,148.7,13.1,14.6,85.4,81.5,3.9
30～99人,平成18,2006,年平均,19.8,164.7,150.6,14.1,14.6,87.9,84.3,3.6
30～99人,平成19,2007,年平均,19.9,165.8,151.3,14.5,15.7,93.3,90,3.3
30～99人,平成20,2008,年平均,19.8,164.2,150.8,13.4,15.1,90.3,86.9,3.4
30～99人,平成21,2009,年平均,19.6,161.2,149,12.2,13.5,78.2,75,3.2
30～99人,平成22,2010,年平均,19.7,162.3,149.7,12.6,13.9,80.6,77.6,3
30～99人,平成23,2011,年平均,19.6,161.7,148.9,12.8,14,83.2,79.7,3.5
30～99人,平成23,2011,1月,18.3,150.5,138.5,12,13,77.6,74.5,3.1
30～99人,平成23,2011,2月,19.1,157.9,145.2,12.7,13.3,80.1,76.7,3.4
30～99人,平成23,2011,3月,20,164.1,151.7,12.4,13.7,80.6,77.9,2.7
30～99人,平成23,2011,4月,20.3,166.7,153.8,12.9,13.9,82.7,79.6,3.1
30～99人,平成23,2011,5月,18.7,154.2,142.3,11.9,13.8,81.6,78.4,3.2
30～99人,平成23,2011,6月,20.9,171.3,158.7,12.6,15.1,88.3,84.8,3.5
30～99人,平成23,2011,7月,20.1,165.9,153,12.9,14.5,87.4,83.1,4.3
30～99人,平成23,2011,8月,19.5,162.2,149.6,12.6,13.9,83.2,79.7,3.5
30～99人,平成23,2011,9月,19.7,163.6,150.6,13,14.6,85.7,81.7,4
30～99人,平成23,2011,10月,19.5,160.7,147.1,13.6,14.1,84.1,80.7,3.4
30～99人,平成23,2011,11月,19.8,162.9,149.5,13.4,14,82.9,79.6,3.3
30～99人,平成23,2011,12月,19.5,160.9,146.9,14,14,84,79.8,4.2
100～499人,平成17,2005,年平均,19.5,162.6,147.7,14.9,15.4,94.6,90.4,4.2
100～499人,平成18,2006,年平均,19.5,163.9,148.1,15.8,15.1,95.5,91.3,4.2
