規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.6,19.4,17.4,147.1,159.7,128.5,135.6,145.4,121,11.5,14.3,7.5
５人以上,"鉱業,採石業,砂利採取業",19.3,19.5,18.9,152.9,154.1,148.6,141.6,142.7,137.7,11.3,11.4,10.9
５人以上,建設業,20.7,20.9,19.3,173,177.1,149.6,157.6,160.1,143.5,15.4,17,6.1
５人以上,製造業,19.8,20.1,18.9,163.8,168.2,150.8,151.4,154.9,141,12.4,13.3,9.8
５人以上,電気・ガス・熱供給・水道業,19.7,19.9,18.3,166.1,169.2,145.9,143.6,145.2,133.3,22.5,24,12.6
５人以上,情報通信業,19.1,19.4,18.2,166.3,170.7,153.5,144.4,147.5,135.3,21.9,23.2,18.2
５人以上,"運輸業,郵便業",20.1,20.4,18.6,172.9,179.6,143.7,150.8,155.1,132,22.1,24.5,11.7
５人以上,"卸売業,小売業",18.8,19.6,17.7,143.6,155.3,128.3,136.5,146.9,122.9,7.1,8.4,5.4
５人以上,"金融業,保険業",18.9,19.3,18.2,155.4,161.8,146.9,140.2,145,133.9,15.2,16.8,13
５人以上,"不動産業,物品賃貸業",19.4,19.9,18.4,149.3,157.7,132.5,138.3,145.1,124.7,11,12.6,7.8
５人以上,"学術研究,専門・技術サービス業",19.6,20,18.8,161.3,165.4,153,144.5,147.3,139,16.8,18.1,14
５人以上,"宿泊業,飲食サービス業",15.7,17.2,14.4,108.6,131.7,87.6,102.7,122.3,84.8,5.9,9.4,2.8
５人以上,"生活関連サービス業,娯楽業",18.9,20.1,17.8,146.2,162,131,138,151.8,124.7,8.2,10.2,6.3
５人以上,"教育,学習支援業",16.4,17.2,15.6,117.8,122.8,112.3,113.3,118.2,108,4.5,4.6,4.3
５人以上,"医療,福祉",17.5,17.3,17.6,128.5,135.5,126.1,123.3,129.3,121.2,5.2,6.2,4.9
５人以上,複合サービス事業,18.1,18.7,16.8,145.8,154.7,128.4,136.1,143,122.5,9.7,11.7,5.9
５人以上,サービス業（他に分類されないもの）,18.5,19.6,17.5,144.5,158,130.4,133,143.6,121.9,11.5,14.4,8.5
30人以上,調査産業計,18.7,19.4,17.6,150.7,161.1,133.8,137.4,145.3,124.6,13.3,15.8,9.2
30人以上,"鉱業,採石業,砂利採取業",19.3,19.5,18.9,152.9,154.1,148.6,141.6,142.7,137.7,11.3,11.4,10.9
30人以上,建設業,20.3,20.4,19.2,171.5,174.1,152.6,153.9,155.2,144.2,17.6,18.9,8.4
30人以上,製造業,19.6,19.8,18.8,163.6,167.1,152.8,150.2,153,141.4,13.4,14.1,11.4
30人以上,電気・ガス・熱供給・水道業,19.6,19.8,18.2,165.5,168.5,147,142.7,144.2,133.3,22.8,24.3,13.7
30人以上,情報通信業,19.1,19.4,18.2,166.5,170.7,153.9,143.7,146.8,134.4,22.8,23.9,19.5
30人以上,"運輸業,郵便業",19.9,20.2,18.6,172.6,179,144.5,149.6,153.6,132.3,23,25.4,12.2
30人以上,"卸売業,小売業",19,19.8,17.8,147.2,158.1,131.9,138.6,148.3,124.9,8.6,9.8,7
30人以上,"金融業,保険業",18.8,19.2,18.2,155.5,161.2,148.1,139.6,143.6,134.4,15.9,17.6,13.7
30人以上,"不動産業,物品賃貸業",19.6,20.1,18.6,152.2,160.4,135.8,139.3,145.6,126.8,12.9,14.8,9
30人以上,"学術研究,専門・技術サービス業",19.4,19.6,18.9,162.1,164.1,156.7,142,143.6,137.6,20.1,20.5,19.1
30人以上,"宿泊業,飲食サービス業",16.6,17.9,15.3,118.9,138.6,97.6,112.9,130.8,93.7,6,7.8,3.9
30人以上,"生活関連サービス業,娯楽業",18.3,19.6,17.3,141.4,158.4,127.4,131,146,118.7,10.4,12.4,8.7
30人以上,"教育,学習支援業",16.6,17.7,15.3,118.7,126.3,109,114.6,122,105.2,4.1,4.3,3.8
30人以上,"医療,福祉",17.7,17.2,17.9,132.9,136,131.6,127.3,129.8,126.3,5.6,6.2,5.3
30人以上,複合サービス事業,18.1,18.7,16.5,147.6,155,125.6,136.9,142.4,120.6,10.7,12.6,5
30人以上,サービス業（他に分類されないもの）,18.2,19.2,17.3,140.9,155.1,128.7,129.5,140.5,120.1,11.4,14.6,8.6
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
