規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1267313,486282,444133,42149,781031,180975,161722,150267,11455,19253
100～499人,988301,410293,379067,31226,578008,135203,118232,111915,6317,16971
100人以上,1112292,444062,407982,36080,668230,151517,133732,125584,8148,17785
30～99人,851367,381804,356630,25174,469563,124598,105021,100564,4457,19577
５～29人,590470,335406,320196,15210,255064,101106,94878,92990,1888,6228
30人以上,1025852,423437,390970,32467,602415,137539,118824,112592,6232,18715
５人以上,910320,400077,372189,27888,510243,119263,106812,102759,4053,12451
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
