規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,484038,561023,327343,445182,514788,303507,407996,37186,38856,46235,23836
100～499人,381685,454847,265696,359348,425556,254384,333257,26091,22337,29291,11312
100人以上,426415,503594,290232,396859,466524,273935,365919,30940,29556,37070,16297
30～99人,321974,396295,219119,314242,384996,216323,296585,17657,7732,11299,2796
５～29人,261460,321160,183170,249694,308173,173005,239090,10604,11766,12987,10165
30人以上,388447,466909,261898,366825,438650,250980,340714,26111,21622,28259,10918
５人以上,347849,422944,234584,329378,399292,223928,308224,21154,18471,23652,10656
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
