規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,637189,10,87.5,88.8,1.45,0.11
30人以上,"鉱業,採石業,砂利採取業",1284372,-3.5,92.9,89.3,2.75,-0.07
30人以上,建設業,716560,8.3,88.5,86.8,1.91,0.27
30人以上,製造業,898228,11.1,81.4,89.5,1.39,0.03
30人以上,電気・ガス・熱供給・水道業,747026,-25.1,100,100,2.17,-0.21
30人以上,情報通信業,754228,0.2,89.8,94.4,1.63,-0.12
30人以上,運輸業，郵便業,450938,-2.2,91.2,89.7,1.34,0.08
30人以上,卸売業，小売業,608927,33.9,88.3,86.6,1.42,0.26
30人以上,"金融業,保険業",938948,-0.1,86.6,88.2,2.12,0.02
30人以上,不動産業，物品賃貸業,578796,-1,91.7,92.4,1.43,-0.07
30人以上,学術研究，専門・技術サービス業,648931,-2.4,71.7,84.4,1.37,0
30人以上,宿泊業，飲食サービス業,133451,-11.2,89.8,88.3,0.47,-0.03
30人以上,生活関連サービス業，娯楽業,249718,-2.3,81.1,79.3,1.02,-0.05
30人以上,教育，学習支援業,823898,2.5,99.5,98.9,2.1,0.1
30人以上,医療，福祉,480889,17.3,87,92.2,1.53,0.4
30人以上,複合サービス事業,546137,-28.9,100,100,1.4,-0.56
30人以上,サービス業（他に分類されないもの）,440793,6.3,80,78,1.52,0.05
30～99人,調査産業計,462330,17.5,86.5,87.4,1.39,0.12
30～99人,"鉱業,採石業,砂利採取業",1127541,-8.6,100,100,2.8,-0.08
30～99人,建設業,769620,14.8,88.9,87.9,2.02,0.35
30～99人,製造業,420190,-0.1,78.3,81.4,1.19,-0.02
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,476912,-7.7,88.9,91.4,1.56,-0.11
30～99人,運輸業，郵便業,398467,-7.8,92.9,96.7,1.34,0.09
30～99人,卸売業，小売業,429563,42.4,87.8,93.9,1.34,0.26
30～99人,"金融業,保険業",890790,-0.8,85,81.1,2.14,0.02
30～99人,不動産業，物品賃貸業,435691,-9.7,91.2,92,1.32,-0.1
30～99人,学術研究，専門・技術サービス業,556828,1.6,65.9,71.1,1.3,-0.01
30～99人,宿泊業，飲食サービス業,103972,-6.3,89.5,86,0.45,-0.03
30～99人,生活関連サービス業，娯楽業,276911,-6.9,80,76.3,1.04,-0.07
30～99人,教育，学習支援業,792733,5.6,100,100,2.11,0.11
30～99人,医療，福祉,332469,41.6,84.5,79.8,1.49,0.44
30～99人,複合サービス事業,430143,-20.6,100,100,1.39,-0.39
30～99人,サービス業（他に分類されないもの）,407868,6,77.7,74.3,1.54,0.03
100～499人,調査産業計,601350,4.3,90.6,87.3,1.54,0.02
100～499人,"鉱業,採石業,砂利採取業",1387453,-2.2,75,74.6,2.57,-0.09
100～499人,建設業,602778,3,85.8,78.8,1.45,-0.03
100～499人,製造業,811679,9.4,89.6,88.8,1.66,0.1
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,752899,-1.4,91.1,95,1.64,-0.21
100～499人,運輸業，郵便業,413526,3.1,87.8,84.2,1.31,0.04
100～499人,卸売業，小売業,563989,9.4,89.1,76,1.58,0.11
100～499人,"金融業,保険業",847972,4.9,93.9,92.1,2.07,0.08
100～499人,不動産業，物品賃貸業,654535,5.1,94.6,95.5,1.75,0
100～499人,学術研究，専門・技術サービス業,603961,-0.5,94,97.3,1.56,0.05
100～499人,宿泊業，飲食サービス業,187213,-13.4,94.2,94.4,0.68,-0.06
100～499人,生活関連サービス業，娯楽業,198903,8.8,86.3,81.3,0.9,0.06
100～499人,教育，学習支援業,894353,2.6,94,95.1,2.02,0.04
100～499人,医療，福祉,573423,9.9,100,100,1.76,0.19
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,431285,7,86.7,85.2,1.48,0.09
500人以上,調査産業計,943240,0.6,90.6,93.3,2.13,-0.01
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,796267,3.3,100,100,1.79,0.02
