規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.7,20,19.1,161.6,167,150.5,146.5,150,139.2,15.1,17,11.3
100～499人,19.7,20.3,18.8,159.1,168.5,144.5,145.4,152.5,134.3,13.7,16,10.2
100人以上,19.7,20.2,18.9,160.2,167.8,146.9,145.9,151.3,136.3,14.3,16.5,10.6
30～99人,19.5,20.4,18.2,151.7,165.6,131.7,141.2,152.7,124.8,10.5,12.9,6.9
５～29人,19,20,17.5,145.2,161.4,123.6,137.9,151.7,119.6,7.3,9.7,4
30人以上,19.6,20.2,18.6,157.1,167,141,144.2,151.8,131.8,12.9,15.2,9.2
５人以上,19.4,20.2,18.3,153.4,165.4,135,142.2,151.8,127.6,11.2,13.6,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
