事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,601281,3.7,85.3,89.7,1.31,-0.01,637189,10,87.5,88.8,1.45,0.11
30人以上,C 鉱業，採石業，砂利採取業,1278454,-3.3,100,100,2.8,-0.1,1284372,-3.5,92.9,89.3,2.75,-0.07
30人以上,D 建設業,766066,17,81.3,87.7,2.04,0.38,716560,8.3,88.5,86.8,1.91,0.27
30人以上,E 製造業,917802,14.1,80.9,89.4,1.46,0.11,898228,11.1,81.4,89.5,1.39,0.03
30人以上,F 電気・ガス・熱供給・水道業,802273,-20.5,74.5,94.2,2.42,0.09,747026,-25.1,100,100,2.17,-0.21
30人以上,G 情報通信業,706080,0.2,87.2,94,1.38,-0.09,754228,0.2,89.8,94.4,1.63,-0.12
30人以上,"H 運輸業,郵便業",429883,-7.4,92,92.7,1.26,-0.07,450938,-2.2,91.2,89.7,1.34,0.08
30人以上,"I 卸売業,小売業",494229,9.3,86.8,93.5,1.16,-0.03,608927,33.9,88.3,86.6,1.42,0.26
30人以上,"J 金融業,保険業",940419,-6.3,81.4,84.5,1.98,-0.07,938948,-0.1,86.6,88.2,2.12,0.02
30人以上,"K 不動産業,物品賃貸業",554630,-3.6,93.2,94.4,1.31,-0.05,578796,-1,91.7,92.4,1.43,-0.07
30人以上,"L 学術研究,専門・技術サービス業",794336,0.5,69.6,86.7,1.26,-0.05,648931,-2.4,71.7,84.4,1.37,0
30人以上,"M 宿泊業,飲食サービス業",133401,-8.6,77.7,78.2,0.44,-0.07,133451,-11.2,89.8,88.3,0.47,-0.03
30人以上,"N 生活関連サービス業,娯楽業",303045,60.4,78.1,78.3,1.02,0.25,249718,-2.3,81.1,79.3,1.02,-0.05
30人以上,"O 教育,学習支援業",697151,-0.3,100,100,1.82,-0.06,823898,2.5,99.5,98.9,2.1,0.1
30人以上,"P 医療,福祉",409809,2.2,100,100,1.44,0.04,480889,17.3,87,92.2,1.53,0.4
30人以上,Q 複合サービス事業,531454,-29.2,100,100,1.31,-0.57,546137,-28.9,100,100,1.4,-0.56
30人以上,R サービス業（他に分類されないもの）,430746,0.9,76.4,69,1.43,0.1,440793,6.3,80,78,1.52,0.05
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",618366,-3.9,75.2,77.5,0.88,-0.07,938148,10.7,64.4,71.2,0.89,-0.2
30人以上,E11 繊維工業,879328,41,53.8,75.2,1.11,0.18,944103,8.6,55.8,80.1,1.24,0.17
30人以上,E12 木材・木製品製造業（家具を除く）,630867,1.7,63.6,75.7,1.82,0.05,714297,-3.6,63.6,76.7,2.05,-0.05
30人以上,E13 家具・装備品製造業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,E14 パルプ・紙・紙加工品製造業,589932,-17.4,77.1,93.5,1.34,-0.19,742480,17.6,53,81.9,1.9,0.57
