規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,19,19.9,17.7,150.6,163.2,131.6,139.1,149.1,124,11.5,14.1,7.6
５人以上,"鉱業,採石業,砂利採取業",19.7,19.8,19.5,157,157.7,154.7,144.1,144.8,141.6,12.9,12.9,13.1
５人以上,建設業,21,21.2,20,177,180.6,156.1,161.1,163.2,148.7,15.9,17.4,7.4
５人以上,製造業,20.2,20.4,19.4,165.5,169.5,153.8,154.5,157.8,144.7,11,11.7,9.1
５人以上,電気・ガス・熱供給・水道業,20,20.1,18.7,176.5,179.7,155.6,144.9,146.3,135.6,31.6,33.4,20
５人以上,情報通信業,19.8,20.2,18.8,170.6,175.2,158,149.3,152.6,140.2,21.3,22.6,17.8
５人以上,"運輸業,郵便業",20.4,20.8,18.9,174.4,181.3,144.8,152.9,157.3,134.1,21.5,24,10.7
５人以上,"卸売業,小売業",19.2,20.1,17.9,147.9,160.6,130.4,140,151.1,124.8,7.9,9.5,5.6
５人以上,"金融業,保険業",19.6,20,18.9,161.3,167.1,153,145.2,149.2,139.5,16.1,17.9,13.5
５人以上,"不動産業,物品賃貸業",19.9,20.4,18.8,157.3,164.8,140.7,145,150.9,131.9,12.3,13.9,8.8
５人以上,"学術研究,専門・技術サービス業",19.9,20.3,19.3,163.1,167.5,153.8,148.2,151.3,141.8,14.9,16.2,12
５人以上,"宿泊業,飲食サービス業",15.9,17.5,14.4,110,133.2,88.7,104.7,125,86.1,5.3,8.2,2.6
５人以上,"生活関連サービス業,娯楽業",19.1,20.1,18.2,150,164.5,136.6,142.7,156,130.4,7.3,8.5,6.2
５人以上,"教育,学習支援業",16.5,17.3,15.6,119.7,125.6,113.7,114.6,120.1,109,5.1,5.5,4.7
５人以上,"医療,福祉",18.4,18.4,18.4,136.7,144.4,134.1,130.1,137.2,127.7,6.6,7.2,6.4
５人以上,複合サービス事業,18.8,19.7,16.9,152.9,162,132.7,142.8,150.1,126.7,10.1,11.9,6
５人以上,サービス業（他に分類されないもの）,18.5,19.5,17.5,143.3,157,129.1,132.9,144.4,121,10.4,12.6,8.1
30人以上,調査産業計,19.2,19.9,18.1,154.2,164.6,137.4,140.9,148.9,128,13.3,15.7,9.4
30人以上,"鉱業,採石業,砂利採取業",19.7,19.8,19.5,157,157.7,154.7,144.1,144.8,141.6,12.9,12.9,13.1
30人以上,建設業,20.9,21,20.1,177.4,179.6,162.3,159,160.2,150.6,18.4,19.4,11.7
30人以上,製造業,20,20.3,19.3,166.1,169.4,155.6,153.9,156.7,144.8,12.2,12.7,10.8
30人以上,電気・ガス・熱供給・水道業,19.9,20.1,18.7,177.5,180.6,156.8,143.9,145.1,135.9,33.6,35.5,20.9
30人以上,情報通信業,19.7,20.1,18.7,169.4,174.1,156,147.6,151,138.1,21.8,23.1,17.9
30人以上,"運輸業,郵便業",20.4,20.8,18.8,175.2,182.1,145.7,152.4,156.7,134.1,22.8,25.4,11.6
30人以上,"卸売業,小売業",19.4,20.2,18.2,150.4,161.8,134.5,141.2,151,127.5,9.2,10.8,7
30人以上,"金融業,保険業",19.6,20,19,162,167.8,154.3,145,148.7,140.1,17,19.1,14.2
30人以上,"不動産業,物品賃貸業",19.9,20.4,18.9,155.6,162.7,141.5,142.2,147.9,130.9,13.4,14.8,10.6
30人以上,"学術研究,専門・技術サービス業",20,20.1,19.5,164.6,166.5,159.1,146.9,148.6,142,17.7,17.9,17.1
30人以上,"宿泊業,飲食サービス業",16.6,18,15.1,119,139.9,96.7,113.6,132.1,93.8,5.4,7.8,2.9
30人以上,"生活関連サービス業,娯楽業",18.2,19.6,17.1,141.5,160.8,126.2,132.6,150,118.8,8.9,10.8,7.4
30人以上,"教育,学習支援業",16.6,17.5,15.4,119.9,125.8,112.5,115.2,120.9,108,4.7,4.9,4.5
30人以上,"医療,福祉",19,18.7,19,144.9,148.1,143.7,137,140.4,135.7,7.9,7.7,8
30人以上,複合サービス事業,18.9,19.7,16.7,154.4,162.5,129.9,143,149.5,123.3,11.4,13,6.6
30人以上,サービス業（他に分類されないもの）,18.2,19.2,17.3,140.4,155.2,127.7,129.7,141.8,119.3,10.7,13.4,8.4
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年４月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
