規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,495119,576535,330524,456128,528611,309592,416426,39702,38991,47924,20932
100～499人,393507,471609,268328,360283,426999,253353,333381,26902,33224,44610,14975
100人以上,437616,519305,293073,401889,473189,275728,369431,32458,35727,46116,17345
30～99人,337104,413237,230066,312528,383367,212934,293460,19068,24576,29870,17132
５～29人,256331,320191,178014,250276,312694,173727,239715,10561,6055,7497,4287
30人以上,401273,483112,268208,369578,442539,250947,341961,27617,31695,40573,17261
５人以上,355287,435458,236274,331727,404560,223607,309522,22205,23560,30898,12667
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
