規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.4,17.2,149.4,155.3,137.5,134,138.2,125.5,15.4,17.1,12
100～499人,17.9,18.5,17.1,146.1,155.2,131.5,132.3,138.6,122.2,13.8,16.6,9.3
100人以上,18,18.4,17.1,147.6,155.2,133.9,133.1,138.4,123.5,14.5,16.8,10.4
30～99人,17.7,18.6,16.3,138.2,151.5,119.6,127.8,138.7,112.6,10.4,12.8,7
５～29人,17.9,19.1,16.5,138,154.7,116.2,130.2,144.2,111.8,7.8,10.5,4.4
30人以上,17.8,18.5,16.8,144.2,153.9,128.1,131.2,138.5,119.1,13,15.4,9
５人以上,17.9,18.7,16.7,142.2,154.1,124,130.9,140.2,116.6,11.3,13.9,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
