規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,167.5,149.9,17.6,14.5,95.9,92.2,3.7
100～499人,19.8,164.6,148.9,15.7,13.9,88.3,84.5,3.8
100人以上,19.8,165.9,149.3,16.6,14.1,90.9,87.1,3.8
30～99人,20,164.1,151.7,12.4,13.7,80.6,77.9,2.7
５～29人,20.4,169.8,158.9,10.9,13.4,79.3,77.8,1.5
30人以上,19.9,165.3,150.1,15.2,13.9,85.7,82.5,3.2
５人以上,20,166.5,152.5,14,13.6,82.5,80.2,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
