規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,488044,564437,331915,458682,529932,313065,418054,40628,29362,34505,18850
100～499人,388596,460644,275103,363958,429961,259988,333907,30051,24638,30683,15115
100人以上,432092,508434,297644,405388,475991,281047,370711,34677,26704,32443,16597
30～99人,328704,405077,223146,317510,391497,215249,299011,18499,11194,13580,7897
５～29人,260983,323460,178833,253074,312633,174760,241883,11191,7909,10827,4073
30人以上,394707,473289,268119,373611,447260,254970,344784,28827,21096,26029,13149
５人以上,352187,428293,237349,335284,406830,227328,312065,23219,16903,21463,10021
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
