規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,601281,3.7,85.3,89.7,1.31,-0.01
30人以上,"鉱業,採石業,砂利採取業",1278454,-3.3,100,100,2.8,-0.1
30人以上,建設業,766066,17,81.3,87.7,2.04,0.38
30人以上,製造業,917802,14.1,80.9,89.4,1.46,0.11
30人以上,電気・ガス・熱供給・水道業,802273,-20.5,74.5,94.2,2.42,0.09
30人以上,情報通信業,706080,0.2,87.2,94,1.38,-0.09
30人以上,運輸業，郵便業,429883,-7.4,92,92.7,1.26,-0.07
30人以上,卸売業，小売業,494229,9.3,86.8,93.5,1.16,-0.03
30人以上,"金融業,保険業",940419,-6.3,81.4,84.5,1.98,-0.07
30人以上,不動産業，物品賃貸業,554630,-,93.2,94.4,1.31,-
30人以上,学術研究，専門・技術サービス業,794336,-,69.6,86.7,1.26,-
30人以上,宿泊業，飲食サービス業,133401,-,77.7,78.2,0.44,-
30人以上,生活関連サービス業，娯楽業,303045,-,78.1,78.3,1.02,-
30人以上,教育，学習支援業,697151,-0.3,100,100,1.82,-0.06
30人以上,医療，福祉,409809,2.2,100,100,1.44,0.04
30人以上,複合サービス事業,531454,-29.2,100,100,1.31,-0.57
30人以上,サービス業（他に分類されないもの）,430746,-,76.4,69,1.43,-
30～99人,調査産業計,371110,-4.3,83.6,84.5,1.24,-0.02
30～99人,"鉱業,採石業,砂利採取業",1198527,-12,100,100,2.92,-0.21
30～99人,建設業,812282,17.6,80,83,2.16,0.44
30～99人,製造業,438955,-2.1,78.5,81.1,1.26,0.09
30～99人,電気・ガス・熱供給・水道業,1136663,5.1,66.4,70.6,2.44,0.04
30～99人,情報通信業,416126,-7.2,85.2,90.7,1.27,-0.1
30～99人,運輸業，郵便業,400499,-20.4,92.9,93.8,1.28,-0.09
30～99人,卸売業，小売業,253181,-15.2,85.2,92.2,1.06,-0.05
30～99人,"金融業,保険業",643558,-6.6,78.2,74.1,1.93,-0.07
30～99人,不動産業，物品賃貸業,420529,-,91.8,89.9,1.19,-
30～99人,学術研究，専門・技術サービス業,475414,-,63.2,64.6,1.14,-
30～99人,宿泊業，飲食サービス業,86792,-,76.3,72.4,0.4,-
30～99人,生活関連サービス業，娯楽業,271647,-,76.2,71,1.01,-
30～99人,教育，学習支援業,702489,-0.5,100,100,1.83,-0.07
30～99人,医療，福祉,293849,-2,100,100,1.43,0.04
30～99人,複合サービス事業,400895,-21.7,100,100,1.32,-0.4
30～99人,サービス業（他に分類されないもの）,480599,-,72.5,49.6,1.44,-
100～499人,調査産業計,576127,2.8,92.2,92.7,1.47,-0.02
100～499人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,建設業,629204,12.3,85.8,85.3,1.49,0.08
100～499人,製造業,937772,39,85.3,86,1.79,0.13
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,682610,0,90.9,91.8,1.48,-0.1
100～499人,運輸業，郵便業,391540,6.7,90.5,93.1,1.18,0
100～499人,卸売業，小売業,497159,-5.1,95.1,95.5,1.48,-0.02
100～499人,"金融業,保険業",919687,-2.2,94.6,97.6,2.12,-0.01
100～499人,不動産業，物品賃貸業,585214,-,97.3,96.7,1.61,-
100～499人,学術研究，専門・技術サービス業,609809,-,94.6,95.3,1.55,-
100～499人,宿泊業，飲食サービス業,222329,-,94.5,95.2,0.75,-
100～499人,生活関連サービス業，娯楽業,342876,-,90.7,89.5,1.09,-
100～499人,教育，学習支援業,755453,4.2,100,100,1.68,-0.02
100～499人,医療，福祉,491397,11.1,100,100,1.54,0.12
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,383387,-,86.3,86.2,1.39,-
500人以上,調査産業計,1017035,7.3,91.8,94.7,2.16,0.1
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,892213,13.8,100,100,1.97,0.19
500人以上,製造業,1167726,6.5,97.8,97.7,2.63,0.23
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,911321,3.7,96.7,98.4,2.19,0.11
500人以上,運輸業，郵便業,792090,15.1,81.5,86.6,2.21,0.34
500人以上,卸売業，小売業,1591573,37.9,89.5,95,2.47,0.27
500人以上,"金融業,保険業",1161882,-12.8,87.5,83.7,2.28,-0.2
500人以上,不動産業，物品賃貸業,861084,-,100,100,2.26,-
500人以上,学術研究，専門・技術サービス業,1211566,-,100,100,1.89,-
500人以上,宿泊業，飲食サービス業,Ｘ,-,Ｘ,Ｘ,Ｘ,-
500人以上,生活関連サービス業，娯楽業,355403,-,100,100,1.25,-
500人以上,教育，学習支援業,642640,-4.1,100,100,1.71,-0.05
500人以上,医療，福祉,467769,-6,100,100,1.27,-0.1
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,638019,-,43.8,53.6,1.69,-
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
平成22年から平成19年11月改定の日本標準産業分類による表章に変更しています。平成21年以前と接続しない産業の前年比等については算出できないため、「－」と表記しています。,,,,,,,
