規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.9,18.3,17.3,149.2,154.3,138.6,134.2,137.8,126.7,15,16.5,11.9
100～499人,18,18.3,17.4,145.4,152.9,133.7,132.4,137.8,123.9,13,15.1,9.8
100人以上,17.9,18.3,17.3,147.1,153.5,135.7,133.2,137.8,125,13.9,15.7,10.7
30～99人,17.6,18.4,16.6,138.4,150,122.2,128.4,137.7,115.4,10,12.3,6.8
５～29人,17.3,18.2,16.1,132.8,147,114.2,126,137.9,110.4,6.8,9.1,3.8
30人以上,17.8,18.3,17,144,152.4,130.3,131.5,137.8,121.2,12.5,14.6,9.1
５人以上,17.7,18.3,16.7,140.4,150.7,124.8,129.7,137.8,117.5,10.7,12.9,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
