規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,495110,478474,440467,38007,16636,165517,163447,154008,9439,2070
100～499人,418726,402730,375217,27513,15996,119322,116427,111389,5038,2895
100人以上,452800,436518,404324,32194,16282,135572,132968,126382,6586,2604
30～99人,387265,377823,355537,22286,9442,105690,105149,101498,3651,541
５～29人,338602,333490,319009,14481,5112,94780,94094,92488,1606,686
30人以上,431108,417090,388176,28914,14018,120007,118477,113419,5058,1530
５人以上,406443,394800,369734,25066,11643,107612,106497,103136,3361,1115
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年９月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
