規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.2,－,108.8,96,105.6,87.1,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.9,1.7,106.6,96.9,106.2,105.4,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1.1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.7,-0.3,101.5,98.5,99.3,99.7,99.3,100,102.2,97.1,－,－,－,－,100.6,103.1,100.8,－
５人以上,平成19,2007,年平均,99.6,-0.1,102.4,99.4,98.5,99.3,101.6,101.7,101.3,98.8,－,－,－,－,96.8,106.2,99.5,－
５人以上,平成20,2008,年平均,99.4,-0.2,105.4,98.7,99.5,102.5,104.1,103.9,103.1,100,－,－,－,－,91.9,106.8,109.6,－
５人以上,平成21,2009,年平均,98.6,-0.8,107.8,99.2,98,105.5,105.1,103,102.2,98.8,－,－,－,－,90,108.6,110.7,－
５人以上,平成22,2010,年平均,98.9,0.3,107.5,97,101.1,105.3,106.8,102.1,103.7,100.8,－,－,－,－,93.6,108.9,110.2,－
５人以上,平成22,2010,5月,98.7,1.5,109.5,94.9,100.4,104.6,106.1,102.4,103.5,99.7,－,－,－,－,92.6,110.1,109.6,－
５人以上,平成22,2010,6月,98.7,0.1,107.2,95.2,100.4,104.3,105.6,101.5,104,100.4,－,－,－,－,91.8,109.5,109.6,－
５人以上,平成22,2010,7月,98.3,-0.4,109.4,96.8,102,103.9,106.2,99.2,102.4,101.1,－,－,－,－,93.3,106.8,110,－
５人以上,平成22,2010,8月,98.7,0,106.9,96,102.2,103.1,106.8,100.2,103.7,100.5,－,－,－,－,94.7,106.8,109.5,－
５人以上,平成22,2010,9月,99,1,105.3,97.7,101.9,105.4,108.2,102.8,102.7,100.7,－,－,－,－,94.7,107.8,108,－
５人以上,平成22,2010,10月,99,0.7,105.9,98.3,102.2,107.3,107.1,101.6,103.2,100.9,－,－,－,－,94.5,107.6,109.4,－
５人以上,平成22,2010,11月,98.8,0.5,106.8,97,102,106,108,100.6,103.4,101,－,－,－,－,91.8,106.9,110.4,－
５人以上,平成22,2010,12月,99.1,0.4,104.7,100,102.1,101.6,108.8,103,102.6,102.6,－,－,－,－,92.3,106.6,109.5,－
