規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,492762,482672,444132,38540,10090,163321,162219,152712,9507,1102
100～499人,413302,398396,370853,27543,14906,115559,114962,110047,4915,597
100人以上,448804,436050,403593,32457,12754,132334,131560,125032,6528,774
30～99人,382387,366832,345302,21530,15555,104726,104449,101006,3443,277
５～29人,351865,332917,318199,14718,18948,95884,95203,93393,1810,681
30人以上,426815,413134,384295,28839,13681,117928,117413,112495,4918,515
５人以上,406729,391636,366581,25055,15093,107187,106591,103187,3404,596
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
