規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1023590,1223023,618149,452961,522474,311643,415366,37595,570629,700549,306506
100～499人,750066,892308,525191,361390,426189,258947,336267,25123,388676,466119,266244
100人以上,869691,1044313,562199,401438,470444,279926,370861,30577,468253,573869,282273
30～99人,519945,645807,339885,310799,381683,209390,293500,17299,209146,264124,130495
５～29人,330376,406440,229150,253189,310618,176762,242575,10614,77187,95822,52388
30人以上,742937,907198,474976,368589,439904,252252,342824,25765,374348,467294,222724
５人以上,612530,757687,390688,332112,401303,226368,311136,20976,280418,356384,164320
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
