規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6860777,4112861,2747916,138645,72328,66317,142546,82545,60001,6856876,4102644,2754232,22.2,12.4,36.8
５人以上,"鉱業,採石業,砂利採取業",2260,1763,497,25,22,3,19,14,5,2266,1771,495,0.5,0.6,0
５人以上,建設業,311060,265321,45739,2277,1729,548,2740,2325,415,310597,264725,45872,2.6,1,11.9
５人以上,製造業,675630,505100,170530,8873,6131,2742,10923,8399,2524,673580,502832,170748,7.7,3.2,21.1
５人以上,電気・ガス・熱供給・水道業,34955,30320,4635,264,200,64,1244,1059,185,33975,29461,4514,4.1,2.8,12.8
５人以上,情報通信業,730261,542853,187408,10292,6511,3781,13131,9817,3314,727422,539547,187875,2.9,1.1,8
５人以上,"運輸業,郵便業",371811,300835,70976,4734,4016,718,8424,5285,3139,368121,299566,68555,11.7,8.7,24.5
５人以上,"卸売業,小売業",1459838,833814,626024,27539,15832,11707,33383,19659,13724,1453994,829987,624007,24.9,13.2,40.5
５人以上,"金融業,保険業",373361,213579,159782,10135,5775,4360,10957,7258,3699,372539,212096,160443,5.5,1.8,10.4
５人以上,"不動産業,物品賃貸業",176170,117005,59165,6037,4192,1845,3524,2530,994,178683,118667,60016,23.1,17.1,35.2
５人以上,"学術研究,専門・技術サービス業",336364,224517,111847,3757,1391,2366,3375,2363,1012,336746,223545,113201,6.3,3.5,11.8
５人以上,"宿泊業,飲食サービス業",616575,294893,321682,22396,11410,10986,19350,8862,10488,619621,297441,322180,69.1,55.4,81.7
５人以上,"生活関連サービス業,娯楽業",190226,93013,97213,3687,1374,2313,5307,1884,3423,188606,92503,96103,33.9,22.3,45
５人以上,"教育,学習支援業",370412,190377,180035,6249,3645,2604,4388,1764,2624,372273,192258,180015,31.4,24.5,38.7
５人以上,"医療,福祉",517112,132441,384671,10343,2362,7981,5943,2369,3574,521512,132434,389078,32.2,23.7,35.1
５人以上,複合サービス事業,56101,37747,18354,527,167,360,295,261,34,56333,37653,18680,18.1,7.2,40
５人以上,サービス業（他に分類されないもの）,638641,329283,309358,21510,7571,13939,19543,8696,10847,640608,328158,312450,25.5,14.5,37.1
30人以上,調査産業計,4690809,2914607,1776202,89352,47733,41619,98402,60123,38279,4681759,2902217,1779542,16.4,8.3,29.6
30人以上,"鉱業,採石業,砂利採取業",2260,1763,497,25,22,3,19,14,5,2266,1771,495,0.5,0.6,0
30人以上,建設業,191986,168909,23077,1435,1347,88,2415,2073,342,191006,168183,22823,1.7,0.5,10
30人以上,製造業,509813,389924,119889,7054,5430,1624,8496,6562,1934,508371,388792,119579,6.2,3.2,16.2
30人以上,電気・ガス・熱供給・水道業,31837,27588,4249,230,200,30,1161,976,185,30906,26812,4094,3.6,2.5,10.8
30人以上,情報通信業,627423,469300,158123,7964,5520,2444,10853,8212,2641,624534,466608,157926,2.1,0.5,6.9
30人以上,"運輸業,郵便業",294824,237108,57716,3632,3197,435,6559,4131,2428,291897,236174,55723,11.3,9.4,19.3
30人以上,"卸売業,小売業",865702,507450,358252,13613,8885,4728,20063,14010,6053,859252,502325,356927,17.6,5.3,34.9
30人以上,"金融業,保険業",317494,181344,136150,8603,5105,3498,9935,6717,3218,316162,179732,136430,5.2,2,9.4
30人以上,"不動産業,物品賃貸業",111270,74071,37199,2587,1486,1101,2163,1414,749,111694,74143,37551,17.5,11.1,30.2
30人以上,"学術研究,専門・技術サービス業",221737,165635,56102,2850,1117,1733,2358,1495,863,222229,165257,56972,3.5,1.8,8.5
30人以上,"宿泊業,飲食サービス業",213715,110565,103150,7780,3662,4118,7964,3705,4259,213531,110522,103009,57.4,42.9,73
30人以上,"生活関連サービス業,娯楽業",100055,46878,53177,1490,616,874,2582,1090,1492,98963,46404,52559,36.4,21.5,49.6
30人以上,"教育,学習支援業",282317,157371,124946,4555,2880,1675,2686,1509,1177,284186,158742,125444,27.6,20.7,36.3
30人以上,"医療,福祉",361305,101958,259347,7711,1982,5729,3689,1366,2323,365327,102574,262753,26.8,23.5,28.1
30人以上,複合サービス事業,41170,31114,10056,361,94,267,148,114,34,41383,31094,10289,15.5,8.4,36.9
30人以上,サービス業（他に分類されないもの）,517901,243629,274272,19462,6190,13272,17311,6735,10576,520052,243084,276968,28.4,17.5,38.1
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
