規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,99.8,－,99.6,98.4,96.2,98.6,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.2,-0.6,101.1,99.6,97.1,99,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.8,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,100.7,0.7,102.4,101.4,100.7,101.6,100.3,96.6,102.7,100.6,－,－,－,－,103.7,99.9,99.5,－
５人以上,平成19,2007,年平均,99.1,-1.6,99.5,100.5,102.5,99.9,99.5,94.7,100,100.1,－,－,－,－,97.6,103.9,95.3,－
５人以上,平成20,2008,年平均,97.4,-1.7,99.9,99.5,102.4,100.1,99.8,94.9,98,101.7,－,－,－,－,88,105.6,98.1,－
５人以上,平成21,2009,年平均,96.4,-1,94.3,97.9,101,99.7,98.2,95,97.7,100.4,－,－,－,－,85,106.5,95.9,－
５人以上,平成22,2010,年平均,97.4,1,95.9,98.4,102.6,100.1,98.3,95.8,99.9,101,－,－,－,－,89,108.8,98,－
５人以上,平成22,2010,7月,101.3,-1,101.3,103.4,108.4,105,103.9,97,103.6,106.1,－,－,－,－,91.8,111.6,102.9,－
５人以上,平成22,2010,8月,96.8,1.4,97,97.4,101.5,101.5,99.9,96.6,99.4,102.8,－,－,－,－,70,109.2,98.2,－
５人以上,平成22,2010,9月,97.7,2.8,94.1,98.3,102.8,97.6,98.1,97.3,100.5,99.1,－,－,－,－,92.4,107.6,95.2,－
５人以上,平成22,2010,10月,96.8,0.1,95.3,97,101.7,99.6,97.7,94.4,98.9,98.7,－,－,－,－,92.3,107.5,95.8,－
５人以上,平成22,2010,11月,98.3,1.7,95.8,100.4,104.5,100.1,98.9,96.3,100.4,100.9,－,－,－,－,95.6,108,96.6,－
５人以上,平成22,2010,12月,96.7,1,91.4,98.2,102.6,94.1,97.3,96.1,99.6,101.1,－,－,－,－,82.9,106.4,98,－
５人以上,平成23,2011,1月,90.2,-0.8,92.1,86.9,92.4,92.5,91.5,90.4,93.5,95.6,－,－,－,－,79.8,101.3,90.8,－
５人以上,平成23,2011,2月,94.1,-0.1,91.3,98,101.1,95.3,94.9,94.9,96.7,94.5,－,－,－,－,81.9,101.8,91.7,－
５人以上,平成23,2011,3月,98.1,-1.7,102.8,100.1,103.1,108.7,100.9,95.9,99.5,105.3,－,－,－,－,91.1,109.8,106.3,－
５人以上,平成23,2011,4月,100,-2.2,100.1,102.8,106.8,101,102,98.5,101.7,103.3,－,－,－,－,92.3,111.9,100,－
５人以上,平成23,2011,5月,93.2,0.3,90.4,90.4,95.2,94.6,93.3,93,94.6,97.2,－,－,－,－,89.3,106.2,91.2,－
５人以上,平成23,2011,6月,102.2,0.5,104.7,103.6,107.2,110.7,103.7,99.9,104,106.4,－,－,－,－,98.1,112.7,106.9,－
５人以上,平成23,2011,7月,99.5,-1.8,95.6,101.9,106.6,99.6,101.8,97.7,100.8,102.8,－,－,－,－,86.7,109.5,95.2,－
５人以上,平成23,2011,7月（対前年同月比（％））,－,－,-5.6,-1.5,-1.7,-5.1,-2,0.7,-2.7,-3.1,-2.2,-1.7,-1.8,3.9,-5.6,-1.9,-7.5,0.3
30人以上,平成15,2003,年平均,100.2,－,99.4,97.4,95.7,99,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.9,0.7,101.6,100,97.2,98.6,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.9,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,100.8,0.8,101.4,101.8,100.9,100.7,100.8,95.7,103.2,100.5,－,－,－,－,102.6,98.6,99,－
30人以上,平成19,2007,年平均,100,-0.8,98.5,102.5,103.8,99.9,100.8,93.8,100.6,100.5,－,－,－,－,97.9,105.7,92.9,－
30人以上,平成20,2008,年平均,98.5,-1.5,98.9,101.4,104.8,100.3,99.9,94.1,99.4,102.4,－,－,－,－,88.8,104.9,96.7,－
30人以上,平成21,2009,年平均,97.3,-1.2,93.4,98.8,103.2,99,98.3,94.5,99.8,100.9,－,－,－,－,86,104.1,95.3,－
30人以上,平成22,2010,年平均,97.9,0.6,94.9,99.4,104.4,100,98.3,95,99.6,101,－,－,－,－,89,108.4,97.1,－
30人以上,平成22,2010,7月,101.9,-2,100.2,104.5,111,105,104.1,96.4,102.7,105.8,－,－,－,－,90.4,110.9,103.3,－
30人以上,平成22,2010,8月,97.4,1.1,96,98.7,103.8,101.8,100.3,96.1,99.4,103,－,－,－,－,66.5,110.6,96.3,－
30人以上,平成22,2010,9月,97.6,2.6,93.1,99.7,104.2,97.8,97.5,96.4,98.8,99.1,－,－,－,－,91.8,107.2,93.6,－
30人以上,平成22,2010,10月,97.2,-1,94.3,98,103.6,99.4,97.7,93.9,98.6,98.3,－,－,－,－,91.8,108,94.3,－
30人以上,平成22,2010,11月,98.6,1.6,94.8,100,106,100.1,98.7,95.7,99.6,100.5,－,－,－,－,96.6,107.9,96,－
30人以上,平成22,2010,12月,96.7,0.6,90.4,99,103.8,93.6,97.2,95.2,98.8,100.4,－,－,－,－,81.8,106.8,95.9,－
30人以上,平成23,2011,1月,91.2,-0.9,91.1,89.8,94.9,92.8,92.2,90.7,94.2,95.1,－,－,－,－,78.8,103.7,88.7,－
30人以上,平成23,2011,2月,93.7,-0.2,90.4,96.3,102,94.6,94.6,94.6,94.9,94.1,－,－,－,－,80.2,101.9,90,－
30人以上,平成23,2011,3月,99.4,-1.6,101.7,102.9,105.4,109,101,95,101.1,104.6,－,－,－,－,90.5,111,104.8,－
30人以上,平成23,2011,4月,100.6,-2.2,99,104.2,108.8,100.8,101.5,98.2,100.9,103.4,－,－,－,－,92.2,113,98.8,－
30人以上,平成23,2011,5月,93.9,0.9,89.5,92.5,97.7,94.4,93.5,92.7,94.4,96.8,－,－,－,－,90.1,107.9,89.3,－
30人以上,平成23,2011,6月,103,0.8,103.6,104.8,108.6,111.9,103.3,99.5,103.8,105.9,－,－,－,－,99.5,112.4,106.4,－
30人以上,平成23,2011,7月,100.1,-1.8,94.6,101.4,108.2,98.8,101.6,97.3,100.4,102.6,－,－,－,－,86.2,110,95.7,－
