規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.4,156.2,139.5,16.7,13.9,89.1,85.3,3.8
100～499人,18.7,156.8,141.2,15.6,13.7,87.3,83.6,3.7
100人以上,18.6,156.5,140.4,16.1,13.8,87.9,84.2,3.7
30～99人,19.1,157.9,145.2,12.7,13.3,80.1,76.7,3.4
５～29人,20.2,167.8,156.6,11.2,13.6,81.5,80,1.5
30人以上,18.8,157,142,15,13.5,83.9,80.3,3.6
５人以上,19.2,160,146,14,13.6,82.8,80.2,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
