規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.4,19.1,17.3,146.1,157.7,128.6,134.2,143.2,120.7,11.9,14.5,7.9
５人以上,"鉱業,採石業,砂利採取業",18,18.1,17.8,142.5,143,140.5,131.8,132.5,129.2,10.7,10.5,11.3
５人以上,建設業,20.2,20.5,18.9,170.1,174.1,147.3,154.1,156.5,140.4,16,17.6,6.9
５人以上,製造業,19.5,19.8,18.8,162.4,166.2,150.9,150.2,153.2,141.2,12.2,13,9.7
５人以上,電気・ガス・熱供給・水道業,18,18.2,17,154.8,158.2,133.9,133.9,135.7,122.9,20.9,22.5,11
５人以上,情報通信業,18.7,19.1,17.6,162.4,167.3,148.3,141,144.6,130.8,21.4,22.7,17.5
５人以上,"運輸業,郵便業",19.9,20.3,18.3,172.6,180.6,140.1,147.5,152.1,128.6,25.1,28.5,11.5
５人以上,"卸売業,小売業",18.8,19.3,17.9,144.1,153.1,131.2,136.6,144.5,125.3,7.5,8.6,5.9
５人以上,"金融業,保険業",19.2,19.6,18.6,157.3,163,149.8,142.4,146.7,136.7,14.9,16.3,13.1
５人以上,"不動産業,物品賃貸業",19,19.4,18.3,145.4,153.4,130.1,135.5,141.8,123.4,9.9,11.6,6.7
５人以上,"学術研究,専門・技術サービス業",19,19.4,18.3,157.6,161.1,150.8,140.9,143.2,136.5,16.7,17.9,14.3
５人以上,"宿泊業,飲食サービス業",16,17.7,14.6,112.7,137.6,90.3,105.9,126.9,87,6.8,10.7,3.3
５人以上,"生活関連サービス業,娯楽業",19,19.7,18.3,146.1,158.3,134.6,139,149.8,128.8,7.1,8.5,5.8
５人以上,"教育,学習支援業",14.6,15.2,14,103.9,107.8,99.8,100.2,103.8,96.4,3.7,4,3.4
５人以上,"医療,福祉",17.4,17.2,17.4,130.5,136.3,128.5,123.1,128.5,121.3,7.4,7.8,7.2
５人以上,複合サービス事業,18.5,19.2,17.1,149.3,158,132,139.7,147,125.2,9.6,11,6.8
５人以上,サービス業（他に分類されないもの）,18.4,19.4,17.5,144.4,157.9,129.8,132.7,143.5,121.1,11.7,14.4,8.7
30人以上,調査産業計,18.5,19.1,17.5,149.2,158.5,133.6,135.4,142.4,123.7,13.8,16.1,9.9
30人以上,"鉱業,採石業,砂利採取業",18,18.1,17.8,142.5,143,140.5,131.8,132.5,129.2,10.7,10.5,11.3
30人以上,建設業,19.7,19.8,18.7,167.7,170.4,148.9,149.7,151.2,139,18,19.2,9.9
30人以上,製造業,19.3,19.5,18.5,161.6,164.7,151.3,148.4,150.9,140.2,13.2,13.8,11.1
30人以上,電気・ガス・熱供給・水道業,17.8,17.9,16.9,153.3,156.3,134.6,132.1,133.6,122.6,21.2,22.7,12
30人以上,情報通信業,18.6,19,17.5,162.4,167.3,148.5,140,143.6,129.7,22.4,23.7,18.8
30人以上,"運輸業,郵便業",19.9,20.2,18.3,173.5,181.7,140.8,147,151.5,129,26.5,30.2,11.8
30人以上,"卸売業,小売業",19,19.5,18.3,148.2,155.4,136.6,138.9,145.3,128.6,9.3,10.1,8
30人以上,"金融業,保険業",19,19.4,18.5,156.6,161.9,149.7,141.1,145,136,15.5,16.9,13.7
30人以上,"不動産業,物品賃貸業",19,19.4,18.3,147.3,154.5,133.1,135.3,140.8,124.4,12,13.7,8.7
30人以上,"学術研究,専門・技術サービス業",18.6,18.9,17.9,156.2,158.6,149.4,136.4,138.5,130.6,19.8,20.1,18.8
30人以上,"宿泊業,飲食サービス業",16.8,18,15.6,122.3,141.9,101.2,114.2,131.1,96.1,8.1,10.8,5.1
30人以上,"生活関連サービス業,娯楽業",18.4,19.2,17.6,140.6,154.4,128.2,131.2,143.6,120.1,9.4,10.8,8.1
30人以上,"教育,学習支援業",14.6,15.5,13.5,103.2,109.4,95.5,99.7,105.6,92.4,3.5,3.8,3.1
30人以上,"医療,福祉",17.9,17.6,18,137.7,141.6,136.2,128.9,132.8,127.5,8.8,8.8,8.7
30人以上,複合サービス事業,18.3,19.1,16.2,148.6,156.9,124.2,138.8,145.5,119.1,9.8,11.4,5.1
30人以上,サービス業（他に分類されないもの）,18.2,19.2,17.3,140.9,155.4,128,129.2,140.6,119,11.7,14.8,9
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
