規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,161.2,145,16.2,15.3,99.9,95.9,4
100～499人,19.2,160.9,145.7,15.2,14.3,89.4,85.9,3.5
100人以上,19.2,161,145.4,15.6,14.6,93,89.3,3.7
30～99人,19.5,160.7,147.1,13.6,14.1,84.1,80.7,3.4
５～29人,20.1,165.4,154.9,10.5,13.9,83.2,81.6,1.6
30人以上,19.3,160.9,146,14.9,14.3,88.5,85,3.5
５人以上,19.5,162.1,148.3,13.8,14.1,85.9,83.3,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
