規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,162.5,145.6,16.9,15.1,98,94.2,3.8
100～499人,19.6,163.7,148.2,15.5,14.3,89,85.7,3.3
100人以上,19.5,163.1,147,16.1,14.6,92.1,88.6,3.5
30～99人,19.8,162.9,149.5,13.4,14,82.9,79.6,3.3
５～29人,20.7,169.6,158.5,11.1,13.9,83,81.3,1.7
30人以上,19.6,163,147.8,15.2,14.3,87.4,84,3.4
５人以上,19.9,164.8,150.7,14.1,14.1,85.2,82.7,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
