規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.3,19.1,17.2,145.3,157.1,127.7,134,143.1,120.5,11.3,14,7.2
５人以上,"鉱業,採石業,砂利採取業",19.1,19.2,18.5,150.4,151.8,145.6,139.2,140.5,134.9,11.2,11.3,10.7
５人以上,建設業,20.1,20.4,18.7,170.1,174.2,146,153.1,155.4,139.4,17,18.8,6.6
５人以上,製造業,19.1,19.4,18.2,158.4,162.5,146.3,146.4,149.6,137,12,12.9,9.3
５人以上,電気・ガス・熱供給・水道業,18.8,18.9,18.2,162.9,165.3,146.6,140.7,141.8,133.3,22.2,23.5,13.3
５人以上,情報通信業,18.8,19.1,18,163.4,167.4,151.9,142.9,145.7,134.8,20.5,21.7,17.1
５人以上,"運輸業,郵便業",19.5,19.9,17.8,170,177.9,136.5,147,152,125.6,23,25.9,10.9
５人以上,"卸売業,小売業",18.4,19.1,17.5,141.2,151.4,127.9,134.4,143.3,122.7,6.8,8.1,5.2
５人以上,"金融業,保険業",19,19.4,18.4,156.4,162.4,148.2,141.3,145.6,135.4,15.1,16.8,12.8
５人以上,"不動産業,物品賃貸業",19.4,19.8,18.5,150.6,159,133.7,139.7,146.5,126.2,10.9,12.5,7.5
５人以上,"学術研究,専門・技術サービス業",19.3,19.6,18.6,159,163.2,150.7,142,144.7,136.7,17,18.5,14
５人以上,"宿泊業,飲食サービス業",15.7,17.3,14.2,108.9,133.1,86.7,103.5,124.5,84.2,5.4,8.6,2.5
５人以上,"生活関連サービス業,娯楽業",18.7,19.6,17.8,143.8,157.3,130.9,135.9,147.7,124.7,7.9,9.6,6.2
５人以上,"教育,学習支援業",16.5,17.2,15.9,118,122.3,113.4,113.6,117.7,109.3,4.4,4.6,4.1
５人以上,"医療,福祉",17.2,16.9,17.4,127.7,135,125.2,122.9,129.1,120.7,4.8,5.9,4.5
５人以上,複合サービス事業,18.1,18.8,16.7,143,149.7,129.5,132,136.8,122.3,11,12.9,7.2
５人以上,サービス業（他に分類されないもの）,18.4,19.2,17.5,143.6,156.4,130,132.6,142.9,121.7,11,13.5,8.3
30人以上,調査産業計,18.5,19.1,17.5,149.1,158.9,133.3,136,143.2,124.4,13.1,15.7,8.9
30人以上,"鉱業,採石業,砂利採取業",19.1,19.2,18.5,150.4,151.8,145.6,139.2,140.5,134.9,11.2,11.3,10.7
30人以上,建設業,19.8,20,18.7,171.2,174,150.4,151.1,152.4,141.2,20.1,21.6,9.2
30人以上,製造業,18.9,19.2,18.1,158.2,161.4,148,145.2,147.8,136.9,13,13.6,11.1
30人以上,電気・ガス・熱供給・水道業,18.7,18.7,18.2,161.7,163.8,148.3,139.3,140.1,133.9,22.4,23.7,14.4
30人以上,情報通信業,18.8,19.1,18,163.9,167.8,152.3,142.5,145.4,133.9,21.4,22.4,18.4
30人以上,"運輸業,郵便業",19.3,19.7,17.7,170.9,179,137.7,146.2,151.1,126,24.7,27.9,11.7
30人以上,"卸売業,小売業",18.7,19.3,17.7,144.9,154.1,131.9,136.8,144.8,125.4,8.1,9.3,6.5
30人以上,"金融業,保険業",18.9,19.3,18.4,156.7,162.2,149.2,141,144.7,135.9,15.7,17.5,13.3
30人以上,"不動産業,物品賃貸業",19.4,19.8,18.6,150.9,158.5,135.7,138.1,143.8,126.6,12.8,14.7,9.1
30人以上,"学術研究,専門・技術サービス業",19.4,19.6,18.9,163,164.9,157.3,142,143.6,137.4,21,21.3,19.9
30人以上,"宿泊業,飲食サービス業",16.4,17.6,15.1,116.9,136,96.3,111.1,128.3,92.5,5.8,7.7,3.8
30人以上,"生活関連サービス業,娯楽業",18.1,19.3,17.1,139.8,155,126.5,129.9,143.6,117.8,9.9,11.4,8.7
30人以上,"教育,学習支援業",16.8,17.7,15.7,118.8,125.5,110.5,114.7,121.1,106.7,4.1,4.4,3.8
30人以上,"医療,福祉",17.6,16.9,17.8,133.1,136.1,131.9,128,130.3,127.1,5.1,5.8,4.8
30人以上,複合サービス事業,18.3,18.9,16.5,144.7,149.8,129.2,132.2,135.7,121.7,12.5,14.1,7.5
30人以上,サービス業（他に分類されないもの）,18.2,19,17.4,140.5,153.7,128.7,129.6,140.1,120.2,10.9,13.6,8.5
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
