規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,100.2,－,107.1,98.5,96.4,96.3,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.9,-0.3,105.4,98.8,97.3,99.5,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,100.9,0.9,102.5,102.3,100.8,102,99.7,98.4,103.3,102,－,－,－,－,103.4,99.7,99,－
５人以上,平成19,2007,年平均,99.6,-1.3,99.3,102.9,102.5,102.4,99.4,96.2,100.7,103.6,－,－,－,－,96.8,103.7,94.5,－
５人以上,平成20,2008,年平均,98,-1.6,97.5,103.1,102.1,104.8,99.9,95.5,99,105.9,－,－,－,－,87.1,106.2,93.6,－
５人以上,平成21,2009,年平均,96.6,-1.4,93.8,100.7,99.5,105.2,98.5,95.2,98.2,104.1,－,－,－,－,83.4,107.1,92.5,－
５人以上,平成22,2010,年平均,97.7,1.1,95.5,100.7,101.6,105.5,98.9,96,100.2,104.7,－,－,－,－,87.3,110.1,94.8,－
５人以上,平成22,2010,6月,101.4,0.9,103.7,103.6,105.9,112.8,103.7,97.1,103.7,108.6,－,－,－,－,96.6,113,105.7,－
５人以上,平成22,2010,7月,101.3,-0.8,100.2,105.1,107.2,110.2,103.8,97.6,103.4,109.6,－,－,－,－,90.3,112.3,98.6,－
５人以上,平成22,2010,8月,96.7,1.5,95.4,99.8,100.4,105.5,99.7,96.5,99.4,105.8,－,－,－,－,68,109.8,93.3,－
５人以上,平成22,2010,9月,97.6,2.8,92.7,101,101.8,103.3,98.1,97.5,100,102.6,－,－,－,－,90.8,108.1,91.5,－
５人以上,平成22,2010,10月,97.1,0.2,94.3,99.8,101.1,106,98.4,95.3,99.2,102.7,－,－,－,－,90.8,108.1,93.1,－
５人以上,平成22,2010,11月,98.8,2,94.6,103.6,103.9,106.3,99.8,97.4,100.8,104.6,－,－,－,－,94,109,93.6,－
５人以上,平成22,2010,12月,97.2,1.3,89.9,100.8,101.9,98.6,98.1,98.1,100.1,104.3,－,－,－,－,81.6,107.7,94.5,－
５人以上,平成23,2011,1月,90.8,-0.7,91.1,90.1,91.7,98.7,92.5,90.5,94.1,99,－,－,－,－,78.3,102.6,87.4,－
５人以上,平成23,2011,2月,94.5,0,90.8,101.8,100.5,102.2,96.3,94.8,97.2,98,－,－,－,－,80.5,101.3,88.6,－
５人以上,平成23,2011,3月,98.3,-2.1,101.1,104.5,102.2,126.7,101,96.6,99.4,109.1,－,－,－,－,89.4,110.8,102.5,－
５人以上,平成23,2011,4月,100.1,-2.6,99.2,105.8,105.3,113.7,102.5,98.5,102.1,107.2,－,－,－,－,91,112.5,96.1,－
５人以上,平成23,2011,5月,93.4,0,89.1,93.2,94,105.7,94.1,92.5,94.5,100.9,－,－,－,－,87.6,107.4,87.5,－
５人以上,平成23,2011,6月,102,0.6,102.1,105.2,106,119.1,103.8,99.9,103.8,109.1,－,－,－,－,96.1,113.3,101.3,－
５人以上,平成23,2011,6月（対前年同月比（％））,－,－,-1.5,1.5,0.1,5.6,0.1,2.9,0.1,0.5,-1.1,-0.4,0.8,4.6,-0.5,0.3,-4.2,0.3
30人以上,平成15,2003,年平均,99.9,－,108,96.4,96.1,96.4,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,101.2,1.3,105.9,97.4,97.6,99.4,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-1.2,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,101.1,1.1,100.9,103.5,101.1,101.3,99.9,96.7,104,102.2,－,－,－,－,102.3,98.8,98.7,－
30人以上,平成19,2007,年平均,100.8,-0.3,97.8,106.3,103.7,102.6,100.2,95.7,102,104.2,－,－,－,－,96.7,106,92.1,－
30人以上,平成20,2008,年平均,99.4,-1.4,96,106.3,104.4,105.7,99.6,94.9,101,107.2,－,－,－,－,87.1,105.5,91.1,－
30人以上,平成21,2009,年平均,97.5,-1.9,92.3,103.6,101.3,105.4,97.9,94.8,100.7,104.9,－,－,－,－,83,104.9,91,－
30人以上,平成22,2010,年平均,98.3,0.8,94,103.8,103.2,106.1,98,95.6,100.3,105.1,－,－,－,－,86,110.4,93.4,－
30人以上,平成22,2010,6月,102,0.6,102.1,106.9,106.8,113.9,102.4,96.6,103.4,109.2,－,－,－,－,96.9,111.6,105.1,－
30人以上,平成22,2010,7月,101.9,-1.7,98.6,108.1,109.3,110.9,103.2,96.9,102.8,109.8,－,－,－,－,87.4,112.3,98,－
30人以上,平成22,2010,8月,97.4,1.5,93.9,103,102.3,106.4,99.5,96.2,99.7,106.4,－,－,－,－,63.5,111.7,90.7,－
