規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.3,－,119.6,92.7,103.2,90.1,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,95.5,1.3,109,93.8,103.8,108.9,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,4.7,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,100.6,0.6,111.8,96.8,100.5,98.8,99.3,100.1,103.2,100.4,－,－,－,－,100.3,105,101.1,－
５人以上,平成19,2007,年平均,100.7,0.1,104.4,99.5,99.6,99.2,104,102.5,101.4,101.5,－,－,－,－,97.3,105.1,97.1,－
５人以上,平成20,2008,年平均,99.6,-1.1,112.3,96.6,99.3,101.4,102.7,105.3,102.8,104.2,－,－,－,－,92.8,104.2,110.1,－
５人以上,平成21,2009,年平均,96.9,-2.7,113.7,99.1,96.1,102.7,106.4,101.3,98.8,96.7,－,－,－,－,89.8,104.1,112.6,－
５人以上,平成22,2010,年平均,98.7,1.9,113.8,97.5,102,101.6,107.9,100.8,103.1,102.2,－,－,－,－,93.1,105.7,115.7,－
５人以上,平成22,2010,6月,149.2,6.6,229.1,127.4,142.2,210.7,178.9,139.5,153.5,173.3,－,－,－,－,155.5,155.6,239.5,－
５人以上,平成22,2010,7月,108,0.1,145,111.1,134.3,80.7,107.8,110.5,127.4,87.2,－,－,－,－,99.4,105.4,92.3,－
５人以上,平成22,2010,8月,82.2,0.9,77.8,82.9,85.1,76.4,90.2,86.1,86,77.9,－,－,－,－,72.8,87.3,86,－
５人以上,平成22,2010,9月,81.8,2,80.6,83,82.5,77.8,88.5,90.8,84.8,78.2,－,－,－,－,72.1,87.7,84.5,－
５人以上,平成22,2010,10月,81.6,0.4,76.2,83,82.4,80.6,89,85.8,83.4,78.6,－,－,－,－,75.2,87.7,95.6,－
５人以上,平成22,2010,11月,85.7,0.2,77.5,87.7,88.6,83.2,94.3,91.1,87.7,90.5,－,－,－,－,70.5,90.9,86.3,－
５人以上,平成22,2010,12月,173.7,-1.6,259.8,164.4,195.3,211.3,198.8,162.5,181.4,174.6,－,－,－,－,202.5,182.3,252.7,－
５人以上,平成23,2011,1月,83.2,0.7,103.7,86.4,83,77.7,101.5,85.3,85.3,80.6,－,－,－,－,69.1,86.1,87.9,－
５人以上,平成23,2011,2月,81.1,0.2,78,83.1,82.1,77.6,88.5,83.1,81.2,94.5,－,－,－,－,70.5,84.6,86.4,－
５人以上,平成23,2011,3月,85.7,-2.4,81.9,85.6,90.1,92,93.4,91.9,84.2,91.7,－,－,－,－,83.2,93.1,90.3,－
５人以上,平成23,2011,4月,83.8,-4.7,79.3,89.8,85.9,88.6,94.3,86.3,84.2,82.8,－,－,－,－,74.4,88.2,97.7,－
５人以上,平成23,2011,5月,85.7,3.3,75.1,89.8,80.9,86.2,93.2,85.2,86.9,110.9,－,－,－,－,72.8,84.6,86.2,－
５人以上,平成23,2011,6月,145.9,-2.2,218.7,137.3,153.5,187.1,170,135.1,141.8,173.9,－,－,－,－,151.6,153.5,204.3,－
５人以上,平成23,2011,6月（対前年同月比（％））,－,－,-4.5,7.8,7.9,-11.2,-5,-3.2,-7.6,0.3,-12.3,-0.6,-2,0.1,-2.5,-1.3,-14.7,-5.4
30人以上,平成15,2003,年平均,95.1,－,106.4,93.1,105.9,91.5,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,97.1,2.1,109.4,91.7,105.2,111.8,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,3,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,100.6,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,－,－,－,－,101,100.8,100.3,－
30人以上,平成19,2007,年平均,101.6,1,95.2,100.6,100.5,100.4,103.4,103.2,102.1,102,－,－,－,－,101.4,105.9,96.2,－
30人以上,平成20,2008,年平均,101.8,0.2,102.4,100,100.4,103.9,103.4,107.9,105.2,105.6,－,－,－,－,98,102.9,115.3,－
30人以上,平成21,2009,年平均,97.8,-3.9,103.7,103.9,95.5,104.8,106.5,104.1,99.6,95.5,－,－,－,－,94,99.3,120.9,－
30人以上,平成22,2010,年平均,99.5,1.7,103.7,101.8,100.5,102.3,108.6,105.2,102.1,99.4,－,－,－,－,96.9,99.9,122.9,－
30人以上,平成22,2010,6月,158.5,6.7,208.9,143.5,148.2,217.6,187.1,148.7,164.8,166.2,－,－,－,－,164.1,149.8,259.6,－
30人以上,平成22,2010,7月,107,-0.1,132.2,114.7,132.6,77.6,107.7,113.4,124.4,83,－,－,－,－,104.4,98.2,97.7,－
30人以上,平成22,2010,8月,80.5,0.5,70.9,81.4,81.1,76.5,88.5,90.5,81.3,75.4,－,－,－,－,74,81.3,91.1,－
30人以上,平成22,2010,9月,80.8,2.1,73.4,83.3,79.3,78,87.9,96.2,80.8,76,－,－,－,－,72.6,82.9,88.7,－
30人以上,平成22,2010,10月,80.8,0.6,69.5,83.5,79.6,80.8,88.7,90.2,79.3,76.5,－,－,－,－,77.2,82.7,101.7,－
30人以上,平成22,2010,11月,85.3,-0.2,70.7,90.1,85.9,81.8,93.8,94.2,85.8,88.5,－,－,－,－,71.8,86.6,91.1,－
30人以上,平成22,2010,12月,182.7,-1.8,236.9,181.2,200.3,217.6,206.7,172.9,190.9,167.1,－,－,－,－,214.6,181.9,263.2,－
30人以上,平成23,2011,1月,82.6,1.6,94.5,87.9,79.9,78.2,101.4,88.6,81.9,78.7,－,－,－,－,70.1,83.2,91.7,－
30人以上,平成23,2011,2月,80.6,1.1,71.1,83.9,78.7,78.5,87.2,86.5,78.6,94.2,－,－,－,－,71.7,82.1,90,－
30人以上,平成23,2011,3月,86.2,-1.6,74.6,86.8,88,93.7,92.6,96.6,82.9,89.9,－,－,－,－,86.7,91.6,92.7,－
30人以上,平成23,2011,4月,83.5,-4.7,72.4,90.4,83.5,89.8,92.5,90.1,81.9,80.6,－,－,－,－,76.9,85.1,104.5,－
30人以上,平成23,2011,5月,85.9,4.4,68.4,94.5,77.8,87.2,92,88.2,84.1,112.5,－,－,－,－,72.9,80.9,90.6,－
30人以上,平成23,2011,6月,157.4,-0.7,199.4,158.1,162,192.2,175.3,144.7,158.5,168.2,－,－,－,－,162.6,156.7,219.4,－
30人以上,平成23,2011,6月（対前年同月比（％））,－,－,-4.5,10.2,9.3,-11.7,-6.3,-2.7,-3.8,1.2,-8.6,-3.9,-2.7,2.8,-0.9,4.6,-15.5,-0.8
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年６月分,,,,,,,,,,,,,,,,,,,,,
第15表　実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,,,
実質賃金指数（現金給与総額）＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,,,,
