規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,－,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,1.5,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.4,-0.6,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,－,－,－,－,100.5,103.4,99.5,－
５人以上,平成19,2007,年平均,99.5,0.1,96.9,98.2,99.2,100.6,103,101.5,100.8,99,－,－,－,－,94.8,107,99.7,－
５人以上,平成20,2008,年平均,99.4,-0.1,100.6,97.2,100.6,104.2,105.8,103.7,102.7,100.2,－,－,－,－,90,107.1,112.2,－
５人以上,平成21,2009,年平均,98.8,-0.6,105,97.4,100.1,101.6,106.3,106.4,101.7,98.7,－,－,－,－,90.2,108.9,113.2,－
５人以上,平成22,2010,年平均,99,0.2,103.9,95.3,102.8,101.1,108,105.3,103.2,101.5,－,－,－,－,93.8,108.3,110.4,－
５人以上,平成22,2010,9月,99.4,0.8,102.4,96.2,103.9,101.1,108.9,105.9,102.7,101.9,－,－,－,－,95.3,108,110.4,－
５人以上,平成22,2010,10月,99,0.3,102.8,96.5,103.6,101.9,108,104,102.7,101.5,－,－,－,－,94.8,107.3,110.9,－
５人以上,平成22,2010,11月,98.6,0,103.6,94.9,103.3,101,108.7,102.8,102.7,101.7,－,－,－,－,91.9,106.1,110.6,－
５人以上,平成22,2010,12月,99,0.1,102.1,98.2,103.6,98.6,109.5,104.9,102.1,103.5,－,－,－,－,92.5,105.9,110.2,－
５人以上,平成23,2011,1月,97.6,-0.5,105.1,96.3,103,99.2,108.9,101,102.3,100.9,－,－,－,－,91.3,102.5,113.1,－
５人以上,平成23,2011,2月,97.1,-1.5,103.6,96,103.6,98.9,108.7,101.3,99.1,100.5,－,－,－,－,92.5,103.4,111.4,－
５人以上,平成23,2011,3月,97.8,-2.1,103.9,97.3,103.3,100.3,109.2,101.2,101.2,99.8,－,－,－,－,95.8,103.5,113.6,－
５人以上,平成23,2011,4月,98.8,-1.6,106,97.6,102.2,101.1,110.8,103.4,101.9,103.6,－,－,－,－,94.2,106.4,111.7,－
５人以上,平成23,2011,5月,98.3,-0.4,99.2,97,103.1,102.1,109.9,101.2,102.4,98.1,－,－,－,－,92.9,103.9,110,－
５人以上,平成23,2011,6月,98.5,-0.5,101.9,96.8,103.1,102.4,110.4,101.7,100.7,100.6,－,－,－,－,93.3,105.7,113.6,－
５人以上,平成23,2011,7月,98.3,-0.1,102.4,96.2,104.3,96,110.1,101.8,100,101.2,－,－,－,－,91.5,104.8,111.7,－
５人以上,平成23,2011,8月,97.7,-1.2,104.1,97.4,103.5,94.2,109.8,101.4,99.1,99.5,－,－,－,－,90,103.8,112.2,－
５人以上,平成23,2011,9月,98.4,-1,103,98,104.5,94.8,108.4,100.9,100.5,101.4,－,－,－,－,92.8,105.2,111.4,－
５人以上,平成23,2011,9月（対前年同月比（％））,－,－,0.6,1.9,0.6,-6.2,-0.5,-4.7,-2.1,-0.5,-6.7,4.2,-1.3,2,-2.6,-2.6,0.9,-1.1
30人以上,平成15,2003,年平均,97.8,－,101.1,95.8,109.3,89.9,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.5,2.8,110.1,96.8,108.3,107.6,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.5,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,99.2,-0.8,99.1,96.5,99.5,100,99.5,100.3,102.5,96.4,－,－,－,－,101,99.3,96.6,－
30人以上,平成19,2007,年平均,100.6,1.4,95,96.6,100.6,101.4,103.8,102.7,101.8,99.9,－,－,－,－,98.3,109.4,97.9,－
30人以上,平成20,2008,年平均,101.5,0.9,98.6,97,102.1,106.7,107.3,106.2,105.5,101,－,－,－,－,94.7,106.1,117.8,－
30人以上,平成21,2009,年平均,100.3,-1.2,102.9,98.2,100.7,103.2,108.1,110.1,104,98,－,－,－,－,94.5,105.3,120.3,－
30人以上,平成22,2010,年平均,100.4,0.1,101.9,95.7,102.5,101.4,110.1,109.4,103.8,99.4,－,－,－,－,97.8,103.5,115.4,－
30人以上,平成22,2010,9月,100.8,0.8,100.4,96.4,103.5,101.4,111.2,111.7,101.8,99.6,－,－,－,－,98.1,104.1,114.4,－
30人以上,平成22,2010,10月,100.5,0.3,100.7,96.2,103.5,102.2,110.3,109.8,102.8,99.2,－,－,－,－,98.6,104.1,114.7,－
30人以上,平成22,2010,11月,100,-0.1,101.5,93.6,102.6,101,111,108.3,103,99.9,－,－,－,－,95,103.2,114.4,－
30人以上,平成22,2010,12月,100.5,0,100.1,98.4,103.1,99,112.1,111.1,102,102,－,－,－,－,95.8,103.1,114.3,－
30人以上,平成23,2011,1月,99.6,0.1,103.1,97.7,102.4,100.3,110.8,104.9,105.3,98.6,－,－,－,－,94.2,103.1,116.3,－
