規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,559129,480205,438350,41855,78924,165731,163718,153822,9896,2013
100～499人,422278,398426,370519,27907,23852,115930,114689,109541,5148,1241
100人以上,483891,435245,401059,34186,48646,133151,131643,124853,6790,1508
30～99人,406515,370306,348516,21790,36209,102478,102148,98675,3473,330
５～29人,345931,334079,319713,14366,11852,97155,97019,95216,1803,136
30人以上,458012,413525,383485,30040,44487,117560,116651,111547,5104,909
５人以上,428322,392480,366592,25888,35842,107249,106731,103295,3436,518
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
