規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,530956,487902,445038,42864,43054,163607,162200,151754,10446,1407
100～499人,442175,403317,372666,30651,38858,115930,114842,109323,5519,1088
100人以上,482003,441263,405133,36130,40740,131856,130662,123497,7165,1194
30～99人,405964,374286,350656,23630,31678,103116,102674,99107,3567,442
５～29人,343281,334229,318908,15321,9052,93728,93277,91617,1660,451
30人以上,456620,418905,386948,31957,37715,117374,116559,111207,5352,815
５人以上,426507,396407,368870,27537,30100,105596,104962,101449,3513,634
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
