規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5356845,82629,103488,5335880,1503932,56016,39058,1520996
５人以上,"鉱業,採石業,砂利採取業",2249,25,19,2255,11,0,0,11
５人以上,建設業,302801,2256,2657,302398,8259,21,83,8199
５人以上,製造業,624717,6667,9918,621455,50913,2206,1005,52125
５人以上,電気・ガス・熱供給・水道業,33560,230,1210,32581,1395,34,34,1394
５人以上,情報通信業,709757,9212,12721,706248,20504,1080,410,21174
５人以上,"運輸業,郵便業",328320,3987,7178,325130,43491,747,1246,42991
５人以上,"卸売業,小売業",1099470,17163,24345,1092360,360368,10376,9038,361634
５人以上,"金融業,保険業",353056,9806,10841,352023,20305,329,116,20516
５人以上,"不動産業,物品賃貸業",137970,2401,3035,137336,38200,3636,489,41347
５人以上,"学術研究,専門・技術サービス業",315399,3159,2965,315595,20965,598,410,21151
５人以上,"宿泊業,飲食サービス業",194518,2800,5178,191697,422057,19596,14172,427924
５人以上,"生活関連サービス業,娯楽業",124975,2212,2481,124708,65251,1475,2826,63898
５人以上,"教育,学習支援業",253929,2829,1204,255494,116483,3420,3184,116779
５人以上,"医療,福祉",352351,4808,4142,353356,164761,5535,1801,168156
５人以上,複合サービス事業,45905,527,295,46137,10196,0,0,10196
５人以上,サービス業（他に分類されないもの）,477868,14547,15299,477107,160773,6963,4244,163501
30人以上,調査産業計,3933257,63058,81114,3915184,757552,26294,17288,766575
30人以上,"鉱業,採石業,砂利採取業",2249,25,19,2255,11,0,0,11
30人以上,建設業,188797,1414,2405,187805,3189,21,10,3201
30人以上,製造業,478680,5867,7818,476718,31133,1187,678,31653
30人以上,電気・ガス・熱供給・水道業,30725,230,1161,29795,1112,0,0,1111
30人以上,情報通信業,614593,7390,10692,611290,12830,574,161,13244
30人以上,"運輸業,郵便業",261637,3038,5623,259052,33187,594,936,32845
30人以上,"卸売業,小売業",714530,11450,18120,707861,151172,2163,1943,151391
30人以上,"金融業,保険業",301170,8274,9819,299627,16324,329,116,16535
30人以上,"不動産業,物品賃貸業",91870,2045,1793,92121,19400,542,370,19573
30人以上,"学術研究,専門・技術サービス業",213834,2467,1948,214355,7903,383,410,7874
30人以上,"宿泊業,飲食サービス業",93204,1517,3761,90959,120511,6263,4203,122572
30人以上,"生活関連サービス業,娯楽業",63153,945,1182,62918,36902,545,1400,36045
30人以上,"教育,学習支援業",204929,1580,726,205784,77388,2975,1960,78402
30人以上,"医療,福祉",266756,3498,2781,267472,94549,4213,908,97855
30人以上,複合サービス事業,34774,361,148,34987,6396,0,0,6396
30人以上,サービス業（他に分類されないもの）,372356,12957,13118,372185,145545,6505,4193,147867
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
