規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,167,149.8,17.2,15.4,100,96.2,3.8
100～499人,20.1,166.5,150.8,15.7,14.4,91.5,87.7,3.8
100人以上,20,166.7,150.4,16.3,14.8,94.4,90.6,3.8
30～99人,20.3,166.7,153.8,12.9,13.9,82.7,79.6,3.1
５～29人,21.1,173.9,163.1,10.8,13.9,83.1,81.5,1.6
30人以上,20.1,166.7,151.5,15.2,14.3,88.6,85.1,3.5
５人以上,20.4,168.6,154.6,14,14.1,85.8,83.3,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
