規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6865025,4119535,2745490,88594,42574,46020,95543,44335,51208,6858076,4117774,2740302,22.1,12.3,36.8
５人以上,"鉱業,採石業,砂利採取業",2250,1759,491,15,13,2,37,33,4,2228,1739,489,0.4,0.6,0
５人以上,建設業,309640,263284,46356,3219,2591,628,2084,1565,519,310775,264310,46465,2.8,1.2,11.6
５人以上,製造業,673149,504246,168903,4154,3097,1057,4705,2941,1764,672598,504402,168196,7.4,3.3,19.7
５人以上,電気・ガス・熱供給・水道業,34267,29458,4809,143,132,11,824,710,114,33586,28880,4706,3.9,2.6,12.2
５人以上,情報通信業,725398,536675,188723,5336,3880,1456,6628,4789,1839,724106,535766,188340,3,1.2,8
５人以上,"運輸業,郵便業",373782,300140,73642,4186,2866,1320,4207,2596,1611,373761,300410,73351,13.2,9.7,27.6
５人以上,"卸売業,小売業",1454723,854215,600508,16827,7622,9205,18136,8807,9329,1453414,853030,600384,24.7,13,41.4
５人以上,"金融業,保険業",371607,213133,158474,2352,1317,1035,4459,2424,2035,369500,212026,157474,5,1.9,9.3
５人以上,"不動産業,物品賃貸業",179427,118515,60912,2890,1631,1259,3616,2687,929,178701,117459,61242,21.9,14.8,35.4
５人以上,"学術研究,専門・技術サービス業",336342,222093,114249,1974,912,1062,2882,1266,1616,335434,221739,113695,6.1,3.3,11.4
５人以上,"宿泊業,飲食サービス業",623441,293709,329732,17568,7995,9573,19873,7309,12564,621136,294395,326741,69.8,56,82.2
５人以上,"生活関連サービス業,娯楽業",188477,92146,96331,3718,1605,2113,3301,1251,2050,188894,92500,96394,32.1,20.8,43
５人以上,"教育,学習支援業",373122,192554,180568,3182,1392,1790,2663,842,1821,373641,193104,180537,31.9,24.7,39.7
５人以上,"医療,福祉",519871,128900,390971,7542,1403,6139,7066,2045,5021,520347,128258,392089,30.9,21.7,33.9
５人以上,複合サービス事業,55113,36544,18569,324,230,94,145,58,87,55292,36716,18576,18.2,7.4,39.4
５人以上,サービス業（他に分類されないもの）,644416,332164,312252,15164,5888,9276,14917,5012,9905,644663,333040,311623,24.9,14.1,36.5
30人以上,調査産業計,4686586,2922340,1764246,47289,23718,23571,54317,26318,27999,4679558,2919740,1759818,16.1,8.1,29.3
30人以上,"鉱業,採石業,砂利採取業",2250,1759,491,15,13,2,37,33,4,2228,1739,489,0.4,0.6,0
30人以上,建設業,190892,166735,24157,2083,1455,628,1469,950,519,191506,167240,24266,1.7,0.5,9.7
30人以上,製造業,508467,389237,119230,2749,2096,653,3711,2390,1321,507505,388943,118562,6.1,3.2,15.5
30人以上,電気・ガス・熱供給・水道業,31234,26867,4367,106,95,11,735,621,114,30605,26341,4264,3.5,2.4,10.3
30人以上,情報通信業,623368,464055,159313,3543,2669,874,5182,3818,1364,621729,462906,158823,2.2,0.5,6.9
30人以上,"運輸業,郵便業",295369,235822,59547,3308,2537,771,3121,2084,1037,295556,236275,59281,13,10.5,23
30人以上,"卸売業,小売業",860190,527976,332214,5237,2379,2858,6921,3484,3437,858506,526871,331635,17,5.4,35.6
30人以上,"金融業,保険業",315204,180712,134492,2179,1317,862,3452,2215,1237,313931,179814,134117,4.8,2.1,8.6
30人以上,"不動産業,物品賃貸業",112151,74441,37710,1373,810,563,2072,1401,671,111452,73850,37602,17.7,11.4,30.1
30人以上,"学術研究,専門・技術サービス業",222419,164863,57556,1371,792,579,1321,714,607,222469,164941,57528,3,1.6,7.1
30人以上,"宿泊業,飲食サービス業",214308,110621,103687,5238,2009,3229,6248,1995,4253,213298,110635,102663,57.7,43.4,73.2
30人以上,"生活関連サービス業,娯楽業",98354,46240,52114,1472,687,785,1810,623,1187,98016,46304,51712,36.4,21.4,49.9
30人以上,"教育,学習支援業",285486,159551,125935,1386,754,632,597,303,294,286275,160002,126273,27.7,20.5,36.8
30人以上,"医療,福祉",364019,97872,266147,3150,639,2511,4188,1519,2669,362981,96992,265989,24.9,19.7,26.8
30人以上,複合サービス事業,40211,30044,10167,150,92,58,145,58,87,40216,30078,10138,16,8.6,37.7
30人以上,サービス業（他に分類されないもの）,522664,245545,277119,13929,5374,8555,13308,4110,9198,523285,246809,276476,27.5,16.6,37.2
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
