規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,462166,535420,314648,446986,516838,306319,411835,35151,15180,18582,8329
100～499人,376370,444332,268073,362227,427483,258243,337894,24333,14143,16849,9830
100人以上,413643,485791,286608,399049,468153,277375,370016,29033,14594,17638,9233
30～99人,320725,394046,213673,313387,384944,208910,295504,17883,7338,9102,4763
５～29人,254934,318005,177186,251341,313141,175159,241278,10063,3593,4864,2027
30人以上,379988,454070,258218,368022,439383,250725,343028,24994,11966,14687,7493
５人以上,340439,414455,229544,331121,402628,223985,310849,20272,9318,11827,5559
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
