規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.1,159.6,144.4,15.2,15.3,100,96.5,3.5
100～499人,19.2,160.7,145.9,14.8,14.6,91.7,88.3,3.4
100人以上,19.2,160.2,145.2,15,14.8,94.7,91.2,3.5
30～99人,19.7,163.6,150.6,13,14.6,85.7,81.7,4
５～29人,20.6,169.3,159.2,10.1,13.9,83.2,81.5,1.7
30人以上,19.3,161.3,147,14.3,14.7,89.9,86.2,3.7
５人以上,19.7,163.5,150.3,13.2,14.3,86.6,83.9,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
