規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,164.9,149.1,15.8,15.6,101.3,97.8,3.5
100～499人,19.8,164.7,149.6,15.1,15,92.7,89.1,3.6
100人以上,19.8,164.8,149.4,15.4,15.2,95.8,92.2,3.6
30～99人,20.1,165.9,153,12.9,14.5,87.4,83.1,4.3
５～29人,21,172.3,162.4,9.9,13.9,83.6,81.8,1.8
30人以上,19.9,165.2,150.6,14.6,14.8,91.4,87.4,4
５人以上,20.2,167.1,153.7,13.4,14.4,87.6,84.7,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
