規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,506155,479268,441331,37937,26887,163919,162259,151433,10826,1660
100～499人,417179,405930,376584,29346,11249,116716,115718,110131,5587,998
100人以上,457036,438782,405587,33195,18254,132755,131532,124165,7367,1223
30～99人,390507,375711,351700,24011,14796,103976,103292,99485,3807,684
５～29人,343501,333403,318174,15229,10098,94031,93826,92223,1603,205
30人以上,434814,417715,387588,30127,17099,118235,117284,111713,5571,951
５人以上,410525,395288,369124,26164,15237,106226,105645,102043,3602,581
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
