規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,18,16.9,146.5,151.7,135.6,131.3,135.2,123.1,15.2,16.5,12.5
100～499人,17.5,17.9,16.8,142.5,150.6,129.6,128.7,134.5,119.5,13.8,16.1,10.1
100人以上,17.6,18,16.9,144.2,151.1,132.1,129.8,134.8,121,14.4,16.3,11.1
30～99人,17.1,17.8,16.1,134,145.3,118.3,124,132.9,111.6,10,12.4,6.7
５～29人,16.7,17.7,15.5,127.9,142,109.5,120.8,132.7,105.3,7.1,9.3,4.2
30人以上,17.4,17.9,16.6,140.5,149.1,126.5,127.7,134.2,117.2,12.8,14.9,9.3
５人以上,17.2,17.8,16.2,136.5,146.9,120.6,125.5,133.7,113.1,11,13.2,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
